ticker,history_start,history_end,history_years,full_10y,total_return,cagr,annualized_volatility,max_drawdown,current_drawdown,sharpe,sortino,group
MSFT,2016-07-18,2026-07-15,9.990417522245037,True,7.292812836456637,0.23582878103148341,0.27191392589140523,-0.3714848024021429,-0.2655273165512836,0.8434360870987774,1.153196957869196,WATCHLIST_1
NFLX,2016-07-18,2026-07-15,9.990417522245037,True,6.456735507329954,0.22275251809950003,0.4153468696733602,-0.759473182516135,-0.4497920038030465,0.6491701878408952,0.860164323181681,WATCHLIST_1
ADBE,2016-07-18,2026-07-15,9.990417522245037,True,1.2963492735067308,0.0867719586376765,0.3455682941977396,-0.7190319086624579,-0.6737800904288909,0.3576267834429937,0.4483879539608224,WATCHLIST_1
SOFI,2021-01-04,2026-07-15,5.5249828884325805,False,0.4647541900502532,0.07152612089776,0.7208895721820705,-0.8332040311790085,-0.44520331117153256,0.41320334882460075,0.738081078980952,WATCHLIST_1
REGN,2016-07-18,2026-07-15,9.990417522245037,True,0.7558787430885459,0.05796890448341041,0.3211273915430759,-0.5969201129476096,-0.44253604478331143,0.2740070752094493,0.4033067285835763,WATCHLIST_1
MA,2016-07-18,2026-07-15,9.990417522245037,True,5.196965325603924,0.20031128657092645,0.2689204283858071,-0.4099720538066496,-0.10086625211687406,0.7407627717287572,0.9761742143528418,WATCHLIST_1
V,2016-07-18,2026-07-15,9.990417522245037,True,3.866099377375611,0.17161253501418106,0.24428854011343962,-0.36364924155103184,-0.04115827985666021,0.6903160136770958,0.9090778149051338,WATCHLIST_1
PWR,2016-07-18,2026-07-15,9.990417522245037,True,24.76753584309346,0.384339574347204,0.33890753510523464,-0.4553341255158031,-0.1735785861397373,1.0728403905968311,1.5162782757273776,WATCHLIST_1
CEG,2022-01-19,2026-07-15,4.484599589322382,False,5.374446478925784,0.511398149423264,0.4929947573069848,-0.5070228044711592,-0.35843673572734447,1.0461097586220756,1.51965031074468,WATCHLIST_1
COST,2016-07-18,2026-07-15,9.990417522245037,True,5.484098854867109,0.20576544231107685,0.2199401262032599,-0.31402427582205206,-0.16245702992491973,0.8726457664242813,1.1396551766872374,WATCHLIST_1
GEV,2024-03-27,2026-07-15,2.299794661190965,False,7.074205489898667,1.4798558119341871,0.5337865668876075,-0.3828562017543651,-0.10178230388781573,1.947694422895446,2.829370891410069,WATCHLIST_1
LLY,2016-07-18,2026-07-15,9.990417522245037,True,16.0013905984777,0.32790335605670995,0.30315328727326585,-0.3447500609952755,-0.0638820048948261,1.0227476074292783,1.4761099609922828,WATCHLIST_1
SPOT,2018-04-03,2026-07-15,8.281998631074606,False,2.257365430347327,0.15325527273194584,0.4710168923000283,-0.8051235531270285,-0.3744297079390382,0.49629573862784704,0.7345428569864352,WATCHLIST_1
TMUS,2016-07-18,2026-07-15,9.990417522245037,True,3.421792059296398,0.16043750117792976,0.2615302141206258,-0.3713250260767057,-0.2967745868819558,0.6246449183201762,0.8729901187956316,WATCHLIST_1
ACN,2016-07-18,2026-07-15,9.990417522245037,True,0.4211606752004162,0.03580728032312619,0.2772889791134464,-0.6817366937220359,-0.6453487940408045,0.19456874923677522,0.24435359804946558,WATCHLIST_1
AAPL,2016-07-18,2026-07-15,9.990417522245037,True,13.410638997145472,0.30610911692442944,0.2907184500146329,-0.38515929605470034,0.0,0.9977632584408282,1.3738207871314294,WATCHLIST_2
AMZN,2016-07-18,2026-07-15,9.990417522245037,True,5.927601964257821,0.21377704154201926,0.32597875713949176,-0.5614526325328263,-0.07283895498682036,0.6974026242201943,0.9917772811701816,WATCHLIST_2
KO,2016-07-18,2026-07-15,9.990417522245037,True,1.4689839613731417,0.09468577824664148,0.183030964599132,-0.36987511522760197,-0.021365021385849392,0.47829633320888404,0.6097075537291999,WATCHLIST_2
BAC,2016-07-18,2026-07-15,9.990417522245037,True,4.454333054881243,0.18507225680799722,0.3046542447975602,-0.48946808976744793,0.0,0.6454073843666889,0.8919900440036371,WATCHLIST_2
AXP,2016-07-18,2026-07-15,9.990417522245037,True,5.4277264253502375,0.2047120229879562,0.31783925849574146,-0.49638490133874047,-0.06113850294215495,0.6818125829063754,0.9366321490567102,WATCHLIST_2
CVX,2016-07-18,2026-07-15,9.990417522245037,True,1.614515365635664,0.1009793024106993,0.29235685113810617,-0.5577393472097116,-0.13207046037100034,0.40889893014417844,0.5118815144772751,WATCHLIST_2
XOM,2016-07-18,2026-07-15,9.990417522245037,True,1.3523247371144427,0.08939495659259888,0.2829046860249037,-0.6122015547323498,-0.15150839952845885,0.3743361342077694,0.522930726836631,WATCHLIST_2
LIN,2016-07-18,2026-07-15,9.990417522245037,True,4.126906756273665,0.17775139923248617,0.22838795174654294,-0.3258505283246156,-0.059435806680325776,0.7449248551312796,1.0509185667355958,WATCHLIST_2
NOC,2016-07-18,2026-07-15,9.990417522245037,True,1.7922895696260612,0.10825275722696981,0.25611009462032663,-0.3638408947885863,-0.3131278784288314,0.45251901911353365,0.5930449425298409,WATCHLIST_2
UNH,2016-07-18,2026-07-15,9.990417522245037,True,2.506938792001434,0.13382253985917436,0.3026807130004791,-0.6139086383213774,-0.3022057503599368,0.504609521115951,0.5930708170372198,WATCHLIST_2
MU,2016-07-18,2026-07-15,9.990417522245037,True,68.51545194565719,0.5289202099912147,0.5075864911850637,-0.5762897831378635,-0.2547388796025737,1.0529970347618693,1.5863471062918268,WATCHLIST_2
SNDK,2025-02-13,2026-07-15,1.4154688569472964,False,43.861111111111114,13.689689790723294,1.03628794168052,-0.4750088301928227,-0.3083511777301927,3.116405176095937,4.906640809962694,WATCHLIST_2
WDC,2016-07-18,2026-07-15,9.990417522245037,True,13.855485547451888,0.3100898701887451,0.4945592003599674,-0.7049293695592058,-0.311418677479701,0.7558626969182167,1.0519594834825348,WATCHLIST_2
STX,2016-07-18,2026-07-15,9.990417522245037,True,40.649602520299815,0.4525009791390908,0.4218115404887792,-0.569918392464988,-0.24235807543331334,1.0513790269201444,1.4518599070502318,WATCHLIST_2
SKHY,2026-07-10,2026-07-15,0.013689253935660506,False,0.05029469962090527,35.03970652012712,3.3406217394895794,-0.0932086715988979,-0.09003708549887046,2.247326948449108,210.87824773829487,WATCHLIST_2
DRAM,2026-04-02,2026-07-15,0.28473648186173856,False,1.067723380857874,11.82376383757704,0.9722704431091831,-0.2901387714255361,-0.28889989274235894,3.1640891958339425,4.8762236418293945,WATCHLIST_2
OXY,2016-07-18,2026-07-15,9.990417522245037,True,-0.07535557739261178,-0.007811447850790021,0.4887308027048709,-0.8838876679535936,-0.24764255177237493,0.19945572513922202,0.2545404737407153,WATCHLIST_2
PBR,2016-07-18,2026-07-15,9.990417522245037,True,6.2923344224581665,0.2200269409967457,0.46509817688469923,-0.7531152845902305,-0.1830467649336459,0.6236038604569415,0.7783244971698678,WATCHLIST_2
