year,ticker,annual_return,group,spy_return,alpha_vs_spy,beat_spy,qqq_return,alpha_vs_qqq,beat_qqq
2022,RKLB,-0.692996737548434,ACTIVE_10,-0.1817536936501497,-0.5112430438982843,False,-0.3257703119001204,-0.36722642564831365,False
2023,RKLB,0.4668435643995146,ACTIVE_10,0.2617580723704003,0.2050854920291143,True,0.5485561597139335,-0.08171259531441888,False
2024,RKLB,3.605786319533827,ACTIVE_10,0.2488646804381094,3.3569216390957175,True,0.25578255243556947,3.350003767098258,True
2025,RKLB,1.7389086775378804,ACTIVE_10,0.17719055511914772,1.5617181224187326,True,0.2077254825855681,1.5311831949523123,True
2026,RKLB,0.09231643656540323,ACTIVE_10,0.11277168154779438,-0.020455244982391152,False,0.17112659960592147,-0.07881016304051824,False
2017,BTC-USD,13.688978981270699,ACTIVE_10,0.21705422116658024,13.47192476010412,True,0.32663552072159807,13.3623434605491,True
2018,BTC-USD,-0.7356177886907107,ACTIVE_10,-0.04569003641488878,-0.6899277522758219,False,-0.0012624216767765928,-0.7343553670139341,False
2019,BTC-USD,0.9220344340849418,ACTIVE_10,0.31223852302976574,0.609795911055176,True,0.38961582925643423,0.5324186048285076,True
2020,BTC-USD,3.0316009017076606,ACTIVE_10,0.18331659129890632,2.8482843104087543,True,0.484061173103266,2.5475397286043946,True
2021,BTC-USD,0.5966792379843302,ACTIVE_10,0.28728738064843706,0.30939185733589314,True,0.27419763042979617,0.32248160755453403,True
2022,BTC-USD,-0.6426524216644383,ACTIVE_10,-0.1817536936501497,-0.46089872801428855,False,-0.3257703119001204,-0.31688210976431785,False
2023,BTC-USD,1.5541741941225529,ACTIVE_10,0.2617580723704003,1.2924161217521526,True,0.5485561597139335,1.0056180344086194,True
2024,BTC-USD,1.21054746592571,ACTIVE_10,0.2488646804381094,0.9616827854876007,True,0.25578255243556947,0.9547649134901406,True
2025,BTC-USD,-0.06336749968935373,ACTIVE_10,0.17719055511914772,-0.24055805480850145,False,0.2077254825855681,-0.27109298227492185,False
2026,BTC-USD,-0.26128332587872827,ACTIVE_10,0.11277168154779438,-0.37405500742652265,False,0.17112659960592147,-0.43240992548464974,False
2017,NOW,0.7539681908436491,WATCHLIST_1,0.21705422116658024,0.5369139696770688,True,0.32663552072159807,0.427332670122051,True
2018,NOW,0.3655188978774877,WATCHLIST_1,-0.04569003641488878,0.4112089342923765,True,-0.0012624216767765928,0.3667813195542643,True
2019,NOW,0.5856220088210453,WATCHLIST_1,0.31223852302976574,0.2733834857912796,True,0.38961582925643423,0.19600617956461108,True
2020,NOW,0.9496669943092344,WATCHLIST_1,0.18331659129890632,0.7663504030103281,True,0.484061173103266,0.4656058212059684,True
