ticker,group,stage,stage_reason,status,history_years,full_10y,cagr,max_drawdown,current_drawdown,sharpe,sortino,beat_spy_rate,beat_qqq_rate,avg_alpha_spy,avg_alpha_qqq,events,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d,avg_max_adverse_252d,discount_verdict,revenue_growth,earnings_growth,profit_margin,free_cash_flow,forward_pe,trailing_pe,error
PBR,WATCHLIST_2,D_MONITOR,保留觀察，現階段沒有足夠證據升級或淘汰,OK,9.990417522245036,True,0.2200269409967457,-0.7531152387168443,-0.1830467649336459,0.6236038814317926,0.7783244844978942,0.4,0.4,0.0832976391910098,0.0075346812642166,23.0,0.1301372399317818,0.7391304347826086,0.1411354389679324,0.5652173913043478,-0.2788041291402624,RESEARCH_CANDIDATE,0.004,-0.072,0.21599,82932752384.0,4.341981,5.7060704,
TMUS,WATCHLIST_1,D_MONITOR,保留觀察，現階段沒有足夠證據升級或淘汰,OK,9.990417522245036,True,0.1604374698495034,-0.3713249541663025,-0.2967745064441698,0.6246448300949276,0.8729896363677875,0.4,0.4,-0.0032560129839331,-0.0790189709107263,13.0,0.1478905998419528,0.6153846153846154,0.3964820471125094,0.6153846153846154,-0.1887171622326044,STRONG_RESEARCH_CANDIDATE,0.106,-0.12,0.116459996,11147374592.0,13.124363,19.875,
CVX,WATCHLIST_2,D_MONITOR,保留觀察，現階段沒有足夠證據升級或淘汰,OK,9.990417522245036,True,0.1009793145155921,-0.5577392747519745,-0.1320704603710003,0.4088989838006143,0.5118816693056274,0.3,0.3,-0.0432576511939825,-0.1190206091207757,5.0,0.1351884116244788,0.8,0.4889784405223351,1.0,-0.2030056136634695,STRONG_RESEARCH_CANDIDATE,0.023,-0.445,0.059270002,11776499712.0,14.487529,31.637632,
KO,WATCHLIST_2,D_MONITOR,保留觀察，現階段沒有足夠證據升級或淘汰,OK,9.990417522245036,True,0.094685815797068,-0.3698752025660126,-0.0213650213858493,0.478296341589352,0.6097077808331127,0.3,0.3,-0.0515396588666514,-0.1273026167934446,2.0,0.2846358573516493,1.0,0.3161204252386004,1.0,-0.0607004360089147,WATCH_SAMPLE_LOW,0.121,0.182,0.278,3124250112.0,23.686674,26.09177,
XOM,WATCHLIST_2,D_MONITOR,保留觀察，現階段沒有足夠證據升級或淘汰,OK,9.990417522245036,True,0.0893948888813158,-0.612201826584902,-0.1515083995284588,0.374335947270334,0.5229303484541027,0.3,0.3,-0.0175146243028087,-0.0932775822296019,9.0,0.031261302721689,0.4444444444444444,0.2750801939815332,0.7777777777777778,-0.1590441897032807,WATCH,0.026,-0.434,0.077649996,11630499840.0,13.533242,24.451777,
OXY,WATCHLIST_2,D_MONITOR,保留觀察，現階段沒有足夠證據升級或淘汰,OK,9.990417522245036,True,-0.0078114673953804,-0.8838877061470548,-0.2476425517723749,0.1994556965869516,0.2545404008926796,0.3,0.3,-0.062915425044579,-0.1386783829713723,22.0,0.1492484249272201,0.6818181818181818,0.3130845565395567,0.7272727272727273,-0.1785684791405955,STRONG_RESEARCH_CANDIDATE,-0.083,3.156,0.22421,3033374976.0,13.894631,72.66216,
SNDK,WATCHLIST_2,E_SHORT_HISTORY,上市歷史不足五年，只做上市以來觀察,OK,1.4154688569472964,False,13.689689790723294,-0.4750088301928227,-0.3083511777301927,3.116405176095937,4.906640809962694,1.0,1.0,5.690665704837288,5.632310786779161,4.0,9.899032986965183,0.5,,0.0,-0.0290132826066886,WATCH_SAMPLE_LOW,2.51,,0.34185,2259500032.0,7.770058,60.23872,
GEV,WATCHLIST_1,E_SHORT_HISTORY,上市歷史不足五年，只做上市以來觀察,OK,2.299794661190965,False,1.4798556860446954,-0.3828561317913294,-0.1017823038878157,1.947694494278134,2.8293704504866986,1.0,1.0,0.6589185645484457,0.6144737041326708,2.0,1.0493292014696605,1.0,1.9173574269017888,1.0,-0.088065690570752,WATCH_SAMPLE_LOW,0.163,18.165,0.23809999,9315624960.0,42.884995,31.156778,
CEG,WATCHLIST_1,E_SHORT_HISTORY,上市歷史不足五年，只做上市以來觀察,OK,4.484599589322382,False,0.5113982129233903,-0.5070228038490553,-0.3584366870624431,1.0461098121793473,1.519650611121504,0.75,0.5,0.2049237275722767,0.1092723627351018,6.0,0.5650192474062927,0.6666666666666666,0.5689211268097041,0.6666666666666666,-0.143425586429331,STRONG_RESEARCH_CANDIDATE,0.638,10.91,0.12693,-4478875136.0,19.002756,22.27049,
SKHY,WATCHLIST_2,F_DATA_PENDING,資料或代號不足，保留但不參與正式排序,DATA_PENDING,0.0136892539356605,False,35.03970652012712,-0.0932086715988979,-0.0900370854988704,2.247326948449108,210.87824773829487,,,,,,,,,,,,1.981,3.966,0.5689,25809054072832.0,4.359944,28.2336,not enough rows for backtest: 4
DRAM,WATCHLIST_2,F_DATA_PENDING,資料或代號不足，保留但不參與正式排序,DATA_PENDING,0.2847364818617385,False,11.82376383757704,-0.2901387714255361,-0.2888998927423589,3.1640891958339425,4.8762236418293945,,,,,,,,,,,,,,,,,25.84806,not enough rows for backtest: 71
