ticker,history_start,history_end,history_years,full_10y,total_return,cagr,annualized_volatility,max_drawdown,current_drawdown,sharpe,sortino,group,market_cap,trailing_pe,forward_pe,price_to_book,peg_ratio,enterprise_to_ebitda,gross_margin,operating_margin,profit_margin,roe,revenue_growth,earnings_growth,free_cash_flow,operating_cash_flow,total_cash,total_debt,debt_to_equity,dividend_yield,scheme,events,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d,avg_max_adverse_252d,discount_verdict,years,beat_spy_rate,beat_qqq_rate,avg_alpha_spy,avg_alpha_qqq,rank_score
NOC,2016-07-18,2026-07-15,9.990417522245037,True,1.7922895696260612,0.10825275722696981,0.25611009462032663,-0.3638408947885863,-0.3131278784288314,0.45251901911353365,0.5930449425298409,WATCHLIST_2,74598817792.0,16.584148,17.410704,4.358672,4.02,12.328,0.20517999,0.11689,0.108009994,0.28511998,0.044,0.849,2071624960.0,4665999872.0,2090000000.0,17574000640.0,102.682,1.78,STOCK_C_25_35_45_60,6.0,0.23697935280860133,0.6666666666666666,0.3529738435687417,0.6666666666666666,-0.05668841455345719,STRONG_RESEARCH_CANDIDATE,10.0,0.5,0.5,-0.03172202545804577,-0.10748504789989866,22.160659997910834
TMUS,2016-07-18,2026-07-15,9.990417522245037,True,3.421792059296398,0.16043750117792976,0.2615302141206258,-0.3713250260767057,-0.2967745868819558,0.6246449183201762,0.8729901187956316,WATCHLIST_1,203043241984.0,19.875,13.124363,3.6459386,0.74,9.493,0.63281,0.2401,0.116459996,0.18024999,0.106,-0.12,11147374592.0,28324999168.0,3520000000.0,122134003712.0,218.569,2.18,STOCK_B_20_30_40_55,13.0,0.14789062642470038,0.6153846153846154,0.3964820758102681,0.6153846153846154,-0.18871717430268048,STRONG_RESEARCH_CANDIDATE,10.0,0.4,0.4,-0.0032559522538827324,-0.07901897469573563,20.080862672293616
NFLX,2016-07-18,2026-07-15,9.990417522245037,True,6.456735507329954,0.22275251809950003,0.4153468696733602,-0.759473182516135,-0.4497920038030465,0.6491701878408952,0.860164323181681,WATCHLIST_1,310251651072.0,23.691319,19.222841,9.97158,1.44,22.035,0.49029,0.32303002,0.28521,0.48494998,0.162,0.864,25993676800.0,12650278912.0,12288449536.0,16742200320.0,53.788,,STOCK_A_15_25_35_50,34.0,0.10075217588587346,0.5588235294117647,0.20976755137994066,0.5294117647058824,-0.2825019684926059,RESEARCH_CANDIDATE,10.0,0.5,0.5,0.11750509882500311,0.041742076383150216,19.29622832814622
UNH,2016-07-18,2026-07-15,9.990417522245037,True,2.506938792001434,0.13382253985917436,0.3026807130004791,-0.6139086383213774,-0.3022057503599368,0.504609521115951,0.5930708170372198,WATCHLIST_2,380076589056.0,32.04594,19.892883,3.8824468,1.47,20.229,0.18801,0.080469996,0.02678,0.121759996,0.02,0.007,17687500800.0,23153000448.0,31228999680.0,77917003776.0,73.982,2.18,STOCK_B_20_30_40_55,10.0,0.10239484784056127,0.7,0.2896269312162595,0.7,-0.20771752547480204,STRONG_RESEARCH_CANDIDATE,10.0,0.6,0.5,-0.01580514777392341,-0.0915681702157763,18.35854203785886
SOFI,2021-01-04,2026-07-15,5.5249828884325805,False,0.4647541900502532,0.07152612089776,0.7208895721820705,-0.8332040311790085,-0.44520331117153256,0.41320334882460075,0.738081078980952,WATCHLIST_1,22922588160.0,39.711113,22.056011,2.1180515,0.85,,0.83507,0.18283,0.14761,0.06597,0.425,1.012,,-6078953984.0,3564402944.0,1916210944.0,17.724,,STOCK_C_25_35_45_60,12.0,0.3556055515580411,0.3333333333333333,-0.05532330276922886,0.3333333333333333,-0.34450201205324676,WATCH,5.0,0.6,0.6,0.15228573311018193,0.10456784610873952,18.106040370440418
ADBE,2016-07-18,2026-07-15,9.990417522245037,True,1.2963492735067308,0.0867719586376765,0.3455682941977396,-0.7190319086624579,-0.6737800904288909,0.3576267834429937,0.4483879539608224,WATCHLIST_1,89262596096.0,12.622821,8.157257,7.7791247,0.61,9.324,0.89404,0.35327998,0.28689,0.62953997,0.127,0.079,9218374656.0,10481000448.0,5625999872.0,7077000192.0,61.443,,STOCK_B_20_30_40_55,15.0,0.15514552321071762,0.8,0.09207019761360559,0.6,-0.18129023254740576,STRONG_RESEARCH_CANDIDATE,10.0,0.5,0.5,0.006850081158820387,-0.0689129412830325,18.102952770542576
QCOM,2016-07-18,2026-07-15,9.990417522245037,True,3.2245941300397423,0.15515037212133054,0.39585553903897847,-0.4428842104775722,-0.288354094583934,0.5115102063375746,0.718422252814156,WATCHLIST_1,187590918144.0,19.137634,16.116777,6.909698,0.6,14.852,0.54799,0.22059,0.22308001,0.36083,-0.035,1.73,9589624832.0,14284999680.0,9799000064.0,15269999616.0,55.979,2.07,STOCK_C_25_35_45_60,15.0,0.28350673588869496,0.6666666666666666,0.4005000164365985,0.6666666666666666,-0.10264471505299669,STRONG_RESEARCH_CANDIDATE,10.0,0.3,0.2,0.021000912904872514,-0.05476210953698037,17.487827642080077
PBR,2016-07-18,2026-07-15,9.990417522245037,True,6.2923344224581665,0.2200269409967457,0.46509817688469923,-0.7531152845902305,-0.1830467649336459,0.6236038604569415,0.7783244971698678,WATCHLIST_2,115096387584.0,5.7060704,4.341981,1.3227595,4.33,2.164,0.47359002,0.31947002,0.21599,0.25601,0.004,-0.072,82932752384.0,194969993216.0,47600001024.0,371690995712.0,83.269,9.84,STOCK_C_25_35_45_60,23.0,0.12821939526509557,0.7391304347826086,0.14103656237735065,0.5652173913043478,-0.2793890096480931,RESEARCH_CANDIDATE,10.0,0.4,0.4,0.08329766981281903,0.007534647370966141,17.262738942835163
SPOT,2018-04-03,2026-07-15,8.281998631074606,False,2.257365430347327,0.15325527273194584,0.4710168923000283,-0.8051235531270285,-0.3744297079390382,0.49629573862784704,0.7345428569864352,WATCHLIST_1,99803865088.0,32.795944,26.92453,10.941358,1.65,38.425,0.32318002,0.15773,0.15449001,0.37987998,0.082,2.224,707750016.0,3230000128.0,6293000192.0,476000000.0,5.943,,STOCK_C_25_35_45_60,12.0,0.16017274771204895,0.3333333333333333,0.1928705639794419,0.4166666666666667,-0.2500564367055544,WATCH,8.0,0.625,0.5,0.24948693087747623,0.17403435367278733,15.13543586772674
REGN,2016-07-18,2026-07-15,9.990417522245037,True,0.7558787430885459,0.05796890448341041,0.3211273915430759,-0.5969201129476096,-0.44253604478331143,0.2740070752094493,0.4033067285835763,WATCHLIST_1,69660295168.0,16.02629,12.134141,2.1550312,1.15,14.044,0.43885,0.20658001,0.29648,0.14548,0.19,-0.072,3273349888.0,5012700160.0,8753699840.0,2706200064.0,8.612,0.57,STOCK_B_20_30_40_55,27.0,0.23802420614934638,0.6296296296296297,0.6030906151839108,0.7037037037037037,-0.1392978069687045,STRONG_RESEARCH_CANDIDATE,10.0,0.4,0.2,-0.0832688442729878,-0.15903186671484068,14.537129351241711
CVX,2016-07-18,2026-07-15,9.990417522245037,True,1.614515365635664,0.1009793024106993,0.29235685113810617,-0.5577393472097116,-0.13207046037100034,0.40889893014417844,0.5118815144772751,WATCHLIST_2,361674145792.0,31.637632,14.487529,1.954664,0.73,10.681,0.42421,0.07312,0.059270002,0.06638,0.023,-0.445,11776499712.0,31264000000.0,5327000064.0,45427998720.0,23.989,3.92,STOCK_C_25_35_45_60,5.0,0.1351884445140862,0.8,0.48897863601009367,1.0,-0.20300569505761423,STRONG_RESEARCH_CANDIDATE,10.0,0.3,0.3,-0.043257626885822076,-0.11902064932767495,13.294902057940096
