ticker,industry,pattern,date,close,ma25,vol5,vol60,above_ma200,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d
CRWV,政策/AI觀察,弱量續攻,2026-01-06,77.94000244140625,78.78160034179687,22828880.0,28585561.666666668,False,12.24%,20.67%,5.80%,24.63%,5.52%
CRWV,政策/AI觀察,弱量續攻,2026-01-07,77.18000030517578,78.78640045166016,23053200.0,28084551.666666668,False,16.35%,18.93%,-3.28%,15.64%,4.87%
CRWV,政策/AI觀察,弱量續攻,2026-01-08,77.08999633789062,78.8288003540039,23523080.0,28079745.0,False,23.25%,20.61%,16.68%,17.84%,10.57%
CRWV,政策/AI觀察,弱量續攻,2026-01-09,80.13999938964844,78.86000030517579,22773720.0,28089863.333333332,False,26.32%,22.67%,20.78%,23.91%,10.93%
CRWV,政策/AI觀察,弱量續攻,2026-01-12,89.93000030517578,79.0272003173828,26054520.0,28472490.0,False,5.88%,21.05%,5.76%,8.98%,2.30%
CRWV,政策/AI觀察,弱量續攻,2026-01-13,87.4800033569336,78.99440032958984,25042680.0,28210988.333333332,False,7.51%,21.19%,8.77%,11.60%,16.60%
CRWV,政策/AI觀察,弱量續攻,2026-01-14,89.80000305175781,79.13680053710938,27835660.0,28179550.0,False,2.22%,10.84%,6.57%,-11.40%,22.80%
CRWV,政策/AI觀察,沖量,2026-01-15,95.01000213623047,79.31080047607422,31875300.0,28433581.666666668,False,-2.14%,-1.92%,1.08%,-17.85%,23.36%
CRWV,政策/AI觀察,波段,2026-01-22,91.79000091552734,81.54320098876953,30379460.0,28837426.666666668,False,8.43%,-18.67%,-2.77%,-20.48%,27.93%
CRWV,政策/AI觀察,弱量續攻,2026-01-26,98.30999755859375,83.83280090332032,29233900.0,29384723.333333332,False,-9.53%,-1.55%,1.01%,-23.79%,24.65%
CRWV,政策/AI觀察,沖量,2026-01-27,108.86000061035156,85.48000091552734,33713160.0,29874420.0,True,-17.27%,-12.63%,-9.97%,-24.71%,7.86%
CRWV,政策/AI觀察,波段,2026-01-29,99.52999877929688,86.98880065917969,37256860.0,30410241.666666668,False,-25.00%,-3.85%,-20.06%,-18.51%,12.59%
CRWV,政策/AI觀察,波段,2026-01-30,93.19000244140625,87.50600067138672,38244840.0,30593916.666666668,False,-3.48%,3.06%,-16.25%,-7.87%,13.24%
CRWV,政策/AI觀察,波段,2026-02-02,88.94000244140625,87.90880065917969,32272860.0,30609531.666666668,False,8.83%,2.32%,-17.05%,-7.67%,28.39%
