ticker,engine,scheme,layer,threshold,date,close,reference_high,drawdown,ma25,ma25_slope_5d,vol5,vol60,volume_ok,shrink_ok,price_near_ma25,filter,filter_pass,ret_21d,ret_63d,ret_126d,ret_252d,max_adverse_252d
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2011-06-17,7.0,9.4399995803833,-25.85%,8.11359998703003,-3.66%,23779420.0,16805006.666666668,True,False,False,D_MA25,False,-7.43%,2.86%,-28.00%,-15.29%,-35.29%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2011-06-17,7.0,9.4399995803833,-25.85%,8.11359998703003,-3.66%,23779420.0,16805006.666666668,True,False,False,D_VOLUME,True,-7.43%,2.86%,-28.00%,-15.29%,-35.29%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2011-06-17,7.0,9.4399995803833,-25.85%,8.11359998703003,-3.66%,23779420.0,16805006.666666668,True,False,False,D_2560,False,-7.43%,2.86%,-28.00%,-15.29%,-35.29%
AMD,AI基礎建設,AI_A_15_25_35_50,D3,-35.00%,2011-08-08,5.940000057220459,9.4399995803833,-37.08%,6.893599987030029,-0.91%,36025380.0,22622400.0,True,False,False,D_ONLY,True,13.80%,-4.55%,20.03%,-32.32%,-33.16%
AMD,AI基礎建設,AI_A_15_25_35_50,D3,-35.00%,2011-08-08,5.940000057220459,9.4399995803833,-37.08%,6.893599987030029,-0.91%,36025380.0,22622400.0,True,False,False,D_MA25,False,13.80%,-4.55%,20.03%,-32.32%,-33.16%
AMD,AI基礎建設,AI_A_15_25_35_50,D3,-35.00%,2011-08-08,5.940000057220459,9.4399995803833,-37.08%,6.893599987030029,-0.91%,36025380.0,22622400.0,True,False,False,D_VOLUME,True,13.80%,-4.55%,20.03%,-32.32%,-33.16%
AMD,AI基礎建設,AI_A_15_25_35_50,D3,-35.00%,2011-08-08,5.940000057220459,9.4399995803833,-37.08%,6.893599987030029,-0.91%,36025380.0,22622400.0,True,False,False,D_2560,False,13.80%,-4.55%,20.03%,-32.32%,-33.16%
AMD,AI基礎建設,AI_A_15_25_35_50,D4,-50.00%,2011-10-03,4.53000020980835,9.4399995803833,-52.01%,6.466800003051758,-2.53%,38666420.0,26524946.666666668,True,False,False,D_ONLY,True,17.00%,20.97%,76.16%,-27.81%,-27.59%
AMD,AI基礎建設,AI_A_15_25_35_50,D4,-50.00%,2011-10-03,4.53000020980835,9.4399995803833,-52.01%,6.466800003051758,-2.53%,38666420.0,26524946.666666668,True,False,False,D_MA25,False,17.00%,20.97%,76.16%,-27.81%,-27.59%
AMD,AI基礎建設,AI_A_15_25_35_50,D4,-50.00%,2011-10-03,4.53000020980835,9.4399995803833,-52.01%,6.466800003051758,-2.53%,38666420.0,26524946.666666668,True,False,False,D_VOLUME,True,17.00%,20.97%,76.16%,-27.81%,-27.59%
AMD,AI基礎建設,AI_A_15_25_35_50,D4,-50.00%,2011-10-03,4.53000020980835,9.4399995803833,-52.01%,6.466800003051758,-2.53%,38666420.0,26524946.666666668,True,False,False,D_2560,False,17.00%,20.97%,76.16%,-27.81%,-27.59%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2014-01-22,3.6700000762939453,4.639999866485596,-20.91%,3.9620000076293946,2.55%,60892760.0,22053550.0,True,False,False,D_ONLY,True,0.54%,15.80%,2.45%,-32.70%,-38.96%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2014-01-22,3.6700000762939453,4.639999866485596,-20.91%,3.9620000076293946,2.55%,60892760.0,22053550.0,True,False,False,D_MA25,True,0.54%,15.80%,2.45%,-32.70%,-38.96%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2014-01-22,3.6700000762939453,4.639999866485596,-20.91%,3.9620000076293946,2.55%,60892760.0,22053550.0,True,False,False,D_VOLUME,True,0.54%,15.80%,2.45%,-32.70%,-38.96%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2014-01-22,3.6700000762939453,4.639999866485596,-20.91%,3.9620000076293946,2.55%,60892760.0,22053550.0,True,False,False,D_2560,False,0.54%,15.80%,2.45%,-32.70%,-38.96%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2014-01-24,3.4700000286102295,4.639999866485596,-25.22%,3.9560000038146974,0.83%,53763120.0,22233111.666666668,True,False,False,D_ONLY,True,6.34%,16.71%,8.36%,-24.78%,-35.45%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2014-01-24,3.4700000286102295,4.639999866485596,-25.22%,3.9560000038146974,0.83%,53763120.0,22233111.666666668,True,False,False,D_MA25,True,6.34%,16.71%,8.36%,-24.78%,-35.45%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2014-01-24,3.4700000286102295,4.639999866485596,-25.22%,3.9560000038146974,0.83%,53763120.0,22233111.666666668,True,False,False,D_VOLUME,True,6.34%,16.71%,8.36%,-24.78%,-35.45%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2014-01-24,3.4700000286102295,4.639999866485596,-25.22%,3.9560000038146974,0.83%,53763120.0,22233111.666666668,True,False,False,D_2560,False,6.34%,16.71%,8.36%,-24.78%,-35.45%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2014-06-24,3.940000057220459,4.639999866485596,-15.09%,4.127600030899048,0.71%,30068200.0,21212383.333333332,True,True,False,D_ONLY,True,-5.33%,-6.35%,-32.49%,-33.50%,-43.65%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2014-06-24,3.940000057220459,4.639999866485596,-15.09%,4.127600030899048,0.71%,30068200.0,21212383.333333332,True,True,False,D_MA25,True,-5.33%,-6.35%,-32.49%,-33.50%,-43.65%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2014-06-24,3.940000057220459,4.639999866485596,-15.09%,4.127600030899048,0.71%,30068200.0,21212383.333333332,True,True,False,D_VOLUME,True,-5.33%,-6.35%,-32.49%,-33.50%,-43.65%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2014-06-24,3.940000057220459,4.639999866485596,-15.09%,4.127600030899048,0.71%,30068200.0,21212383.333333332,True,True,False,D_2560,False,-5.33%,-6.35%,-32.49%,-33.50%,-43.65%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2014-07-18,3.8299999237060547,4.659999847412109,-17.81%,4.267600021362305,1.25%,95979060.0,26126618.333333332,True,False,False,D_ONLY,True,9.92%,-31.07%,-37.60%,-53.00%,-53.26%
