ticker,engine,scheme,layer,threshold,date,close,reference_high,reference_mode,drawdown,ret_21d,ret_63d,ret_126d,ret_252d,max_adverse_252d
TSM,AI基礎建設,AI_A,L1,-15.00%,2023-09-07,86.305419921875,102.5141830444336,52w_high,-15.81%,-0.33%,9.23%,64.16%,83.88%,-5.91%
TSM,AI基礎建設,AI_A,L1,-15.00%,2024-07-24,155.79347229003906,186.25997924804688,52w_high,-16.36%,4.16%,24.66%,39.80%,54.11%,-10.58%
TSM,AI基礎建設,AI_A,L1,-15.00%,2025-02-25,185.8919677734375,220.4945068359375,52w_high,-15.69%,-8.02%,4.79%,27.01%,101.66%,-25.06%
TSM,AI基礎建設,AI_A,L2,-25.00%,2025-03-28,162.8469696044922,220.4945068359375,52w_high,-26.14%,-0.47%,37.56%,66.47%,107.04%,-14.45%
TSM,AI基礎建設,AI_A,L3,-35.00%,2025-04-08,139.314208984375,220.4945068359375,52w_high,-36.82%,23.94%,63.12%,116.88%,165.40%,0.00%
TSM,AI基礎建設,AI_A,L1,-15.00%,2026-03-26,325.3480529785156,385.7371826171875,52w_high,-15.66%,24.19%,32.89%,,,-2.95%
TSM,AI基礎建設,AI_B,L1,-20.00%,2015-08-20,15.026379585266113,18.870834350585938,52w_high,-20.37%,4.69%,14.84%,22.18%,51.53%,-4.33%
TSM,AI基礎建設,AI_B,L1,-20.00%,2018-06-27,30.217235565185547,38.07453918457031,52w_high,-20.64%,16.73%,24.67%,3.58%,13.89%,-3.24%
TSM,AI基礎建設,AI_B,L1,-20.00%,2018-11-20,30.32785987854004,38.199153900146484,52w_high,-20.61%,0.20%,11.06%,7.18%,54.59%,-3.59%
TSM,AI基礎建設,AI_B,L1,-20.00%,2020-03-16,40.01160430908203,53.75278854370117,52w_high,-25.56%,11.65%,25.95%,82.34%,172.88%,-1.32%
TSM,AI基礎建設,AI_B,L1,-20.00%,2021-03-24,100.05543518066406,128.12193298339844,52w_high,-21.91%,8.88%,6.92%,7.19%,-1.67%,-7.77%
TSM,AI基礎建設,AI_B,L1,-20.00%,2022-02-24,103.98284912109375,130.73141479492188,52w_high,-20.46%,-4.14%,-18.80%,-20.94%,-20.29%,-45.27%
TSM,AI基礎建設,AI_B,L2,-30.00%,2022-04-11,91.12028503417969,130.73141479492188,52w_high,-30.30%,-9.98%,-16.25%,-34.26%,-8.82%,-37.54%
TSM,AI基礎建設,AI_B,L3,-40.00%,2022-06-30,76.7481689453125,130.73141479492188,52w_high,-41.29%,5.58%,-14.77%,-5.98%,28.81%,-25.85%
TSM,AI基礎建設,AI_B,L4,-55.00%,2022-10-24,57.86543273925781,130.73141479492188,52w_high,-55.74%,34.67%,51.63%,35.66%,45.91%,-1.65%
TSM,AI基礎建設,AI_B,L1,-20.00%,2023-09-26,81.20423126220703,102.5141830444336,52w_high,-20.79%,3.97%,24.50%,63.59%,125.13%,0.00%
