ticker,signal,date,close,drawdown_60,drawdown_252,above_ma50,above_ma200,ret_3d_before,ret_5d_before,vol_20,vol_60,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d,max_adverse_60d
AXP,B_趨勢回踩型,2024-11-19,280.22509765625,-3.26%,-3.26%,True,True,-0.95%,-1.03%,31.71%,27.05%,7.01%,5.97%,0.78%,6.39%,8.79%,0.00%
AXP,B_趨勢回踩型,2024-12-18,282.4135437011719,-5.82%,-5.82%,True,True,-4.75%,-4.82%,25.01%,26.53%,5.63%,5.56%,10.74%,10.01%,-5.73%,-11.05%
AXP,B_趨勢回踩型,2025-01-10,288.5072937011719,-3.79%,-3.79%,False,True,-2.84%,-1.49%,25.03%,26.86%,6.57%,7.88%,5.78%,0.01%,-20.85%,-20.06%
AXP,B_趨勢回踩型,2025-01-29,310.0986633300781,-3.26%,-3.26%,True,True,-1.90%,-2.17%,24.05%,26.96%,1.67%,-2.81%,-6.68%,-18.66%,-15.72%,-26.36%
AXP,B_趨勢回踩型,2025-02-13,302.4753112792969,-5.64%,-5.64%,True,True,-0.89%,-3.95%,16.81%,21.93%,-3.93%,-2.13%,-13.62%,-13.67%,-2.47%,-24.50%
AXP,B_趨勢回踩型,2025-03-03,290.66156005859375,-9.32%,-9.32%,False,True,-0.21%,-0.01%,20.28%,22.92%,-11.56%,-10.53%,-8.95%,-13.29%,-0.39%,-21.43%
AXP,A_回撤反彈型,2025-03-24,273.3196105957031,-14.73%,-14.73%,False,True,2.66%,5.10%,35.77%,26.98%,-3.17%,-15.40%,-8.85%,-0.57%,7.03%,-16.45%
AXP,B_趨勢回踩型,2025-03-24,273.3196105957031,-14.73%,-14.73%,False,True,2.66%,5.10%,35.77%,26.98%,-3.17%,-15.40%,-8.85%,-0.57%,7.03%,-16.45%
AXP,C_過度波動禁止型,2025-04-04,230.6246337890625,-28.05%,-28.05%,False,False,-13.32%,-11.69%,50.75%,35.56%,7.47%,3.78%,18.98%,28.08%,39.34%,-0.98%
AXP,A_回撤反彈型,2025-05-02,273.230224609375,-13.24%,-14.76%,True,True,3.68%,4.55%,63.58%,48.19%,2.77%,8.26%,6.68%,6.27%,9.87%,-0.53%
AXP,B_趨勢回踩型,2025-05-02,273.230224609375,-13.24%,-14.76%,True,True,3.68%,4.55%,63.58%,48.19%,2.77%,8.26%,6.68%,6.27%,9.87%,-0.53%
AXP,B_趨勢回踩型,2025-05-21,282.26055908203125,-5.39%,-11.94%,True,True,-4.58%,-4.70%,29.01%,49.49%,3.28%,3.48%,4.40%,13.13%,7.63%,-0.27%
AXP,B_趨勢回踩型,2025-06-13,284.02716064453125,-4.85%,-11.39%,True,True,-3.92%,-4.85%,23.22%,46.70%,4.11%,10.84%,8.22%,7.48%,12.64%,0.00%
AXP,B_趨勢回踩型,2025-07-08,313.6253356933594,-3.40%,-3.40%,True,True,-2.40%,-0.38%,23.24%,29.48%,-2.00%,-4.05%,-6.42%,-3.43%,3.65%,-7.16%
AXP,B_趨勢回踩型,2025-07-23,305.3934020996094,-5.93%,-5.93%,True,True,0.23%,-1.04%,24.52%,24.89%,-1.70%,-4.25%,-0.08%,7.12%,4.95%,-4.66%
AXP,B_趨勢回踩型,2025-08-07,291.6108093261719,-10.18%,-10.18%,False,True,-1.29%,-1.53%,20.86%,22.31%,4.41%,4.56%,10.68%,15.74%,22.70%,0.00%
AXP,A_回撤反彈型,2025-08-08,294.2822265625,-9.36%,-9.36%,False,True,0.27%,1.07%,20.83%,22.26%,2.70%,7.31%,9.41%,14.64%,21.89%,-0.40%
AXP,B_趨勢回踩型,2025-08-25,312.45782470703125,-3.76%,-3.76%,True,True,2.40%,2.85%,21.22%,22.08%,4.87%,2.70%,8.13%,3.85%,8.15%,0.00%
