ticker,industry,pattern,signal_date,rule,cost,slippage,entry_date,entry_price,exit_date,exit_price,hold_days,exit_reason,gross_return,net_return
SNDK,AI半導體,弱量續攻,2025-08-28,base_60d,0.20%,0.20%,2025-08-29,51.252301528930666,2025-09-02,51.06999969482422,1,volume_weak,-0.36%,-0.56%
SNDK,AI半導體,弱量續攻,2025-08-28,risk_30d,0.20%,0.20%,2025-08-29,51.252301528930666,2025-09-04,62.5,3,target_reached,21.95%,21.75%
SNDK,AI半導體,弱量續攻,2025-08-28,trend_60d,0.20%,0.20%,2025-08-29,51.252301528930666,2025-11-20,195.9600067138672,58,close_below_ma25,282.34%,282.14%
SNDK,AI半導體,弱量續攻,2025-08-29,base_60d,0.20%,0.20%,2025-09-02,51.11201831817627,2025-09-03,53.0099983215332,1,volume_weak,3.71%,3.51%
SNDK,AI半導體,弱量續攻,2025-08-29,risk_30d,0.20%,0.20%,2025-09-02,51.11201831817627,2025-09-04,62.5,2,target_reached,22.28%,22.08%
SNDK,AI半導體,弱量續攻,2025-08-29,trend_60d,0.20%,0.20%,2025-09-02,51.11201831817627,2025-11-20,195.9600067138672,57,close_below_ma25,283.39%,283.19%
SNDK,AI半導體,弱量續攻,2025-09-02,base_60d,0.20%,0.20%,2025-09-03,52.0238381652832,2025-11-20,195.9600067138672,56,close_below_ma25,276.67%,276.47%
SNDK,AI半導體,弱量續攻,2025-09-02,risk_30d,0.20%,0.20%,2025-09-03,52.0238381652832,2025-09-04,62.5,1,target_reached,20.14%,19.94%
SNDK,AI半導體,弱量續攻,2025-09-02,trend_60d,0.20%,0.20%,2025-09-03,52.0238381652832,2025-11-20,195.9600067138672,56,close_below_ma25,276.67%,276.47%
SNDK,AI半導體,弱量續攻,2025-09-03,base_60d,0.20%,0.20%,2025-09-04,55.7813381652832,2025-11-20,195.9600067138672,55,close_below_ma25,251.30%,251.10%
SNDK,AI半導體,弱量續攻,2025-09-03,risk_30d,0.20%,0.20%,2025-09-04,55.7813381652832,2025-09-05,68.55000305175781,1,target_reached,22.89%,22.69%
SNDK,AI半導體,弱量續攻,2025-09-03,trend_60d,0.20%,0.20%,2025-09-04,55.7813381652832,2025-11-20,195.9600067138672,55,close_below_ma25,251.30%,251.10%
SNDK,AI半導體,沖量,2025-09-04,base_60d,0.20%,0.20%,2025-09-05,65.65103663635254,2025-11-20,195.9600067138672,54,close_below_ma25,198.49%,198.29%
SNDK,AI半導體,沖量,2025-09-04,risk_30d,0.20%,0.20%,2025-09-05,65.65103663635254,2025-09-11,84.30000305175781,4,target_reached,28.41%,28.21%
SNDK,AI半導體,沖量,2025-09-04,trend_60d,0.20%,0.20%,2025-09-05,65.65103663635254,2025-11-20,195.9600067138672,54,close_below_ma25,198.49%,198.29%
SNDK,AI半導體,波段,2025-10-10,base_60d,0.20%,0.20%,2025-10-13,129.99948550415039,2025-11-20,195.9600067138672,28,close_below_ma25,50.74%,50.54%
SNDK,AI半導體,波段,2025-10-10,risk_30d,0.20%,0.20%,2025-10-13,129.99948550415039,2025-10-23,167.0500030517578,8,target_reached,28.50%,28.30%
SNDK,AI半導體,波段,2025-10-10,trend_60d,0.20%,0.20%,2025-10-13,129.99948550415039,2025-11-20,195.9600067138672,28,close_below_ma25,50.74%,50.54%
SNDK,AI半導體,波段,2025-11-19,base_60d,0.20%,0.20%,2025-11-20,252.67433816528322,2025-11-21,200.27000427246094,1,close_below_ma25,-20.74%,-20.94%
SNDK,AI半導體,波段,2025-11-19,risk_30d,0.20%,0.20%,2025-11-20,252.67433816528322,2025-11-21,200.27000427246094,1,risk_stop,-20.74%,-20.94%
SNDK,AI半導體,波段,2025-11-19,trend_60d,0.20%,0.20%,2025-11-20,252.67433816528322,2025-11-21,200.27000427246094,1,close_below_ma25,-20.74%,-20.94%
