ticker,industry,pattern,date,close,ma25,vol5,vol60,above_ma200,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d
MU,AI半導體,弱量續攻,2024-06-05,132.7582550048828,123.34927703857421,17645020.0,22751880.0,True,5.27%,7.84%,-1.58%,-14.47%,-27.96%
MU,AI半導體,弱量續攻,2024-06-06,129.14413452148438,124.15827728271485,18218080.0,22760401.666666668,True,10.05%,7.28%,0.56%,-11.29%,-31.84%
MU,AI半導體,弱量續攻,2024-06-07,130.00796508789062,124.89737976074218,15815220.0,22683850.0,True,7.96%,6.16%,0.24%,-12.67%,-31.75%
MU,AI半導體,弱量續攻,2024-06-10,133.86032104492188,125.69645111083985,15518780.0,22649403.333333332,True,9.65%,4.67%,1.25%,-18.13%,-33.64%
MU,AI半導體,弱量續攻,2024-06-11,134.10853576660156,126.28979675292969,15744680.0,22391828.333333332,True,13.61%,5.40%,-3.50%,-20.38%,-35.99%
MU,AI半導體,弱量續攻,2024-06-12,139.7481231689453,127.14526397705077,14679040.0,22289050.0,True,2.44%,-6.05%,-5.03%,-22.20%,-38.65%
MU,AI半導體,弱量續攻,2024-06-13,142.12109375,128.09128143310548,14840620.0,22210020.0,True,-2.52%,-8.11%,-8.49%,-24.59%,-39.27%
MU,AI半導體,弱量續攻,2024-06-14,140.35377502441406,129.02657653808595,15218420.0,21780371.666666668,True,-1.66%,-6.96%,-9.73%,-27.38%,-35.82%
MU,AI半導體,弱量續攻,2024-06-17,146.7777099609375,130.08260559082032,17069800.0,20686286.666666668,True,-4.54%,-10.31%,-19.09%,-25.65%,-40.95%
MU,AI半導體,沖量,2024-06-18,152.3577117919922,131.29193542480468,22683320.0,20768140.0,True,-7.23%,-10.84%,-23.39%,-33.79%,-40.50%
MU,AI半導體,波段,2024-06-21,138.5467071533203,132.52747619628906,34261720.0,20620095.0,True,-5.74%,-6.26%,-17.31%,-35.14%,-36.36%
MU,AI半導體,波段,2024-06-24,138.02047729492188,132.96910919189452,37938040.0,20671585.0,True,-5.39%,-5.58%,-17.74%,-35.92%,-37.11%
MU,AI半導體,波段,2024-06-25,140.11544799804688,133.59780059814454,39388360.0,20840131.666666668,True,-6.04%,-3.27%,-21.79%,-38.44%,-36.70%
MU,AI半導體,波段,2024-06-26,141.3466339111328,134.12839630126953,42047900.0,21026480.0,True,-3.89%,-8.44%,-24.46%,-35.27%,-36.09%
MU,AI半導體,波段,2024-06-27,131.28875732421875,134.31624969482422,47425440.0,21745585.0,True,-0.48%,1.09%,-17.19%,-29.55%,-29.18%
MU,AI半導體,波段,2024-06-28,130.5937042236328,134.52475341796875,45074860.0,21712426.666666668,True,-0.55%,-0.41%,-17.93%,-27.98%,-28.47%
MU,AI半導體,波段,2024-07-01,130.58383178710938,134.7332598876953,43542640.0,21524745.0,True,-0.20%,-2.98%,-21.95%,-25.85%,-27.12%
MU,AI半導體,波段,2024-07-02,131.64617919921875,134.856376953125,41465720.0,21482236.666666668,True,2.96%,-9.79%,-17.10%,-24.20%,-17.06%
MU,AI半導體,波段,2024-07-03,135.84609985351562,135.0211962890625,33269080.0,21258091.666666668,True,-4.73%,-14.08%,-25.74%,-21.76%,-21.36%
MU,AI半導體,波段,2024-07-05,130.66323852539062,135.02199096679686,25655460.0,21439620.0,True,1.57%,-13.10%,-29.50%,-17.87%,-21.12%
MU,AI半導體,波段,2024-07-08,129.8732147216797,135.2012777709961,22127480.0,21410593.333333332,True,0.14%,-11.79%,-30.81%,-16.88%,-23.25%
MU,AI半導體,波段,2024-07-09,130.3203887939453,135.4496841430664,21547860.0,21412353.333333332,True,-2.78%,-12.88%,-32.13%,-17.65%,-23.86%
MU,AI半導體,波段,2024-07-10,135.53756713867188,135.7808807373047,21884700.0,21373220.0,True,-12.38%,-19.14%,-36.36%,-20.57%,-25.35%
MU,AI半導體,波段,2024-07-11,129.4160919189453,135.92798217773438,24063580.0,21501035.0,True,-9.81%,-17.49%,-29.30%,-19.94%,-21.49%
MU,AI半導體,波段,2024-07-12,132.71531677246094,135.9262646484375,22188040.0,21555610.0,True,-14.44%,-18.08%,-30.30%,-22.99%,-22.86%
MU,AI半導體,波段,2024-07-15,130.0520782470703,135.96258239746095,22171100.0,21470101.666666668,True,-11.91%,-17.59%,-27.68%,-24.42%,-21.56%
MU,AI半導體,弱量續攻,2024-09-12,86.66494750976562,95.9048422241211,22582420.0,25741755.0,False,2.34%,25.99%,21.33%,22.66%,16.14%
MU,AI半導體,波段,2024-10-01,99.68307495117188,92.5586849975586,55908700.0,25677668.333333332,False,2.34%,4.11%,7.97%,3.90%,-10.36%
MU,AI半導體,波段,2024-10-02,99.22595977783203,92.63778747558594,50223100.0,25752401.666666668,False,1.97%,9.53%,4.35%,0.18%,-11.14%
