ticker,industry,pattern,date,close,ma25,vol5,vol60,above_ma200,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d
ORCL,政策/AI觀察,波段,2024-12-09,187.42262268066406,183.20986999511717,10976580.0,7843708.333333333,True,-10.09%,-11.19%,-14.34%,-3.36%,-21.68%
ORCL,政策/AI觀察,波段,2024-12-10,174.91465759277344,183.53068786621094,14493560.0,7829001.666666667,True,-4.52%,-3.56%,-12.86%,-10.73%,-18.68%
ORCL,政策/AI觀察,波段,2024-12-11,175.74130249023438,183.7983642578125,15350040.0,7839145.0,True,-7.37%,-3.86%,-13.60%,-7.94%,-15.30%
ORCL,政策/AI觀察,波段,2025-01-27,156.1468505859375,164.34754516601564,29984780.0,10184016.666666666,True,6.52%,13.04%,6.48%,-8.91%,-16.68%
ORCL,政策/AI觀察,波段,2025-01-28,161.78977966308594,164.30791015625,28002240.0,10453956.666666666,True,2.37%,8.04%,5.16%,-7.99%,-15.85%
ORCL,政策/AI觀察,波段,2025-01-29,159.83645629882812,164.05709228515624,20369860.0,10521358.333333334,True,5.95%,6.30%,1.69%,-8.86%,-14.22%
ORCL,政策/AI觀察,波段,2025-01-30,168.0837860107422,164.10192016601562,19903280.0,10613095.0,True,1.16%,2.04%,-2.54%,-12.39%,-17.45%
ORCL,政策/AI觀察,波段,2025-01-31,167.76808166503906,164.15458862304686,19214760.0,10663495.0,True,2.59%,2.41%,-4.73%,-9.44%,-16.91%
ORCL,政策/AI觀察,波段,2025-02-03,166.32777404785156,164.06028747558594,12424560.0,10720931.666666666,True,6.12%,6.64%,-6.60%,-11.36%,-16.24%
ORCL,政策/AI觀察,弱量續攻,2025-02-04,165.62734985351562,163.9273419189453,9716100.0,10742935.0,True,5.54%,8.12%,-3.77%,-9.20%,-13.03%
ORCL,政策/AI觀察,弱量續攻,2025-02-05,169.3465118408203,164.05023315429688,9316120.0,10689296.666666666,True,0.33%,2.53%,-12.07%,-11.03%,-11.88%
ORCL,政策/AI觀察,弱量續攻,2025-02-06,170.02723693847656,164.2810498046875,7727160.0,10677255.0,True,0.88%,-2.63%,-9.97%,-11.67%,-13.07%
ORCL,政策/AI觀察,弱量續攻,2025-02-07,172.10879516601562,164.60575744628906,7984500.0,10701770.0,True,-0.17%,-2.58%,-14.71%,-11.23%,-15.03%
ORCL,政策/AI觀察,弱量續攻,2025-02-10,176.50868225097656,165.13047241210938,7859560.0,10729308.333333334,True,0.49%,-5.80%,-19.42%,-13.97%,-16.22%
ORCL,政策/AI觀察,弱量續攻,2025-02-11,174.80201721191406,165.57550537109375,7809920.0,10727623.333333334,True,2.44%,-2.66%,-14.84%,-16.59%,-14.87%
ORCL,政策/AI觀察,弱量續攻,2025-02-12,169.89898681640625,165.8492169189453,7727540.0,10756946.666666666,True,2.19%,-4.33%,-14.26%,-15.35%,-12.39%
