ticker,industry,pattern,signal_date,rule,cost,slippage,entry_date,entry_price,exit_date,exit_price,hold_days,exit_reason,gross_return,net_return
CRWV,政策/AI觀察,波段,2025-10-10,trend_60d,0.20%,0.20%,2025-10-13,142.13870571899415,2025-10-20,127.05999755859375,5,close_below_ma25,-10.61%,-10.81%
CRWV,政策/AI觀察,縮量黑馬,2025-10-13,base_60d,0.20%,0.20%,2025-10-14,138.4463381652832,2025-10-15,139.24000549316406,1,volume_weak,0.57%,0.37%
CRWV,政策/AI觀察,縮量黑馬,2025-10-13,risk_30d,0.20%,0.20%,2025-10-14,138.4463381652832,2025-10-20,127.05999755859375,4,risk_stop,-8.22%,-8.42%
CRWV,政策/AI觀察,縮量黑馬,2025-10-13,trend_60d,0.20%,0.20%,2025-10-14,138.4463381652832,2025-10-20,127.05999755859375,4,close_below_ma25,-8.22%,-8.42%
CRWV,政策/AI觀察,波段,2025-10-14,base_60d,0.20%,0.20%,2025-10-15,139.80905877685547,2025-10-17,136.8699951171875,2,volume_weak,-2.10%,-2.30%
CRWV,政策/AI觀察,波段,2025-10-14,risk_30d,0.20%,0.20%,2025-10-15,139.80905877685547,2025-10-20,127.05999755859375,3,risk_stop,-9.12%,-9.32%
CRWV,政策/AI觀察,波段,2025-10-14,trend_60d,0.20%,0.20%,2025-10-15,139.80905877685547,2025-10-20,127.05999755859375,3,close_below_ma25,-9.12%,-9.32%
CRWV,政策/AI觀察,弱量續攻,2025-10-15,base_60d,0.20%,0.20%,2025-10-16,141.72288244628905,2025-10-17,136.8699951171875,1,volume_weak,-3.42%,-3.62%
CRWV,政策/AI觀察,弱量續攻,2025-10-15,risk_30d,0.20%,0.20%,2025-10-16,141.72288244628905,2025-10-20,127.05999755859375,2,risk_stop,-10.35%,-10.55%
CRWV,政策/AI觀察,弱量續攻,2025-10-15,trend_60d,0.20%,0.20%,2025-10-16,141.72288244628905,2025-10-20,127.05999755859375,2,close_below_ma25,-10.35%,-10.55%
CRWV,政策/AI觀察,沖量,2025-10-16,base_60d,0.20%,0.20%,2025-10-17,137.6397355041504,2025-10-20,127.05999755859375,1,close_below_ma25,-7.69%,-7.89%
CRWV,政策/AI觀察,沖量,2025-10-16,risk_30d,0.20%,0.20%,2025-10-17,137.6397355041504,2025-10-21,125.05999755859375,2,risk_stop,-9.14%,-9.34%
CRWV,政策/AI觀察,沖量,2025-10-16,trend_60d,0.20%,0.20%,2025-10-17,137.6397355041504,2025-10-20,127.05999755859375,1,close_below_ma25,-7.69%,-7.89%
CRWV,政策/AI觀察,弱量續攻,2025-10-17,base_60d,0.20%,0.20%,2025-10-20,138.17579388427734,2025-10-21,125.05999755859375,1,close_below_ma25,-9.49%,-9.69%
CRWV,政策/AI觀察,弱量續攻,2025-10-17,risk_30d,0.20%,0.20%,2025-10-20,138.17579388427734,2025-10-21,125.05999755859375,1,risk_stop,-9.49%,-9.69%
CRWV,政策/AI觀察,弱量續攻,2025-10-17,trend_60d,0.20%,0.20%,2025-10-20,138.17579388427734,2025-10-21,125.05999755859375,1,close_below_ma25,-9.49%,-9.69%
CRWV,政策/AI觀察,縮量黑馬,2025-10-23,base_60d,0.20%,0.20%,2025-10-24,127.35419847106934,2025-10-27,136.05999755859375,1,volume_weak,6.84%,6.64%
CRWV,政策/AI觀察,縮量黑馬,2025-10-23,risk_30d,0.20%,0.20%,2025-10-24,127.35419847106934,2025-11-04,115.75,7,risk_stop,-9.11%,-9.31%
CRWV,政策/AI觀察,縮量黑馬,2025-10-23,trend_60d,0.20%,0.20%,2025-10-24,127.35419847106934,2025-10-30,131.05999755859375,4,close_below_ma25,2.91%,2.71%
CRWV,政策/AI觀察,弱量續攻,2025-10-24,base_60d,0.20%,0.20%,2025-10-27,135.8411473388672,2025-10-28,134.8000030517578,1,volume_weak,-0.77%,-0.97%
CRWV,政策/AI觀察,弱量續攻,2025-10-24,risk_30d,0.20%,0.20%,2025-10-27,135.8411473388672,2025-11-04,115.75,6,risk_stop,-14.79%,-14.99%
CRWV,政策/AI觀察,弱量續攻,2025-10-24,trend_60d,0.20%,0.20%,2025-10-27,135.8411473388672,2025-10-30,131.05999755859375,3,close_below_ma25,-3.52%,-3.72%
CRWV,政策/AI觀察,弱量續攻,2025-10-27,base_60d,0.20%,0.20%,2025-10-28,137.08361755371095,2025-10-29,139.92999267578125,1,volume_weak,2.08%,1.88%
CRWV,政策/AI觀察,弱量續攻,2025-10-27,risk_30d,0.20%,0.20%,2025-10-28,137.08361755371095,2025-11-04,115.75,5,risk_stop,-15.56%,-15.76%
CRWV,政策/AI觀察,弱量續攻,2025-10-27,trend_60d,0.20%,0.20%,2025-10-28,137.08361755371095,2025-10-30,131.05999755859375,2,close_below_ma25,-4.39%,-4.59%
CRWV,政策/AI觀察,弱量續攻,2025-10-28,base_60d,0.20%,0.20%,2025-10-29,138.0255,2025-10-30,131.05999755859375,1,close_below_ma25,-5.05%,-5.25%
CRWV,政策/AI觀察,弱量續攻,2025-10-28,risk_30d,0.20%,0.20%,2025-10-29,138.0255,2025-11-03,126.31999969482422,3,risk_stop,-8.48%,-8.68%
CRWV,政策/AI觀察,弱量續攻,2025-10-28,trend_60d,0.20%,0.20%,2025-10-29,138.0255,2025-10-30,131.05999755859375,1,close_below_ma25,-5.05%,-5.25%
CRWV,政策/AI觀察,弱量續攻,2025-10-29,base_60d,0.20%,0.20%,2025-10-30,135.72089694213867,2025-10-31,133.7100067138672,1,close_below_ma25,-1.48%,-1.68%
CRWV,政策/AI觀察,弱量續攻,2025-10-29,risk_30d,0.20%,0.20%,2025-10-30,135.72089694213867,2025-11-04,115.75,3,risk_stop,-14.71%,-14.91%
CRWV,政策/AI觀察,弱量續攻,2025-10-29,trend_60d,0.20%,0.20%,2025-10-30,135.72089694213867,2025-10-31,133.7100067138672,1,close_below_ma25,-1.48%,-1.68%
CRWV,政策/AI觀察,弱量續攻,2025-10-30,base_60d,0.20%,0.20%,2025-10-31,134.14275,2025-11-03,126.31999969482422,1,close_below_ma25,-5.83%,-6.03%
CRWV,政策/AI觀察,弱量續攻,2025-10-30,risk_30d,0.20%,0.20%,2025-10-31,134.14275,2025-11-04,115.75,2,risk_stop,-13.71%,-13.91%
CRWV,政策/AI觀察,弱量續攻,2025-10-30,trend_60d,0.20%,0.20%,2025-10-31,134.14275,2025-11-03,126.31999969482422,1,close_below_ma25,-5.83%,-6.03%
CRWV,政策/AI觀察,弱量續攻,2025-10-31,base_60d,0.20%,0.20%,2025-11-03,134.10267672729492,2025-11-04,115.75,1,close_below_ma25,-13.69%,-13.89%
CRWV,政策/AI觀察,弱量續攻,2025-10-31,risk_30d,0.20%,0.20%,2025-11-03,134.10267672729492,2025-11-04,115.75,1,risk_stop,-13.69%,-13.89%
CRWV,政策/AI觀察,弱量續攻,2025-10-31,trend_60d,0.20%,0.20%,2025-11-03,134.10267672729492,2025-11-04,115.75,1,close_below_ma25,-13.69%,-13.89%
CRWV,政策/AI觀察,縮量黑馬,2025-11-03,base_60d,0.20%,0.20%,2025-11-04,120.1999190826416,2025-11-05,114.41999816894531,1,close_below_ma25,-4.81%,-5.01%
CRWV,政策/AI觀察,縮量黑馬,2025-11-03,risk_30d,0.20%,0.20%,2025-11-04,120.1999190826416,2025-11-06,106.93000030517578,2,risk_stop,-11.04%,-11.24%
CRWV,政策/AI觀察,縮量黑馬,2025-11-03,trend_60d,0.20%,0.20%,2025-11-04,120.1999190826416,2025-11-05,114.41999816894531,1,close_below_ma25,-4.81%,-5.01%
CRWV,政策/AI觀察,波段,2025-12-22,base_60d,0.20%,0.20%,2025-12-23,82.44455877685547,2025-12-26,76.41999816894531,2,close_below_ma25,-7.31%,-7.51%
CRWV,政策/AI觀察,波段,2025-12-22,risk_30d,0.20%,0.20%,2025-12-23,82.44455877685547,2025-12-29,74.91999816894531,3,risk_stop,-9.13%,-9.33%
CRWV,政策/AI觀察,波段,2025-12-22,trend_60d,0.20%,0.20%,2025-12-23,82.44455877685547,2025-12-26,76.41999816894531,2,close_below_ma25,-7.31%,-7.51%
CRWV,政策/AI觀察,波段,2025-12-23,base_60d,0.20%,0.20%,2025-12-24,80.23013969421386,2025-12-26,76.41999816894531,1,close_below_ma25,-4.75%,-4.95%
CRWV,政策/AI觀察,波段,2025-12-23,risk_30d,0.20%,0.20%,2025-12-24,80.23013969421386,2025-12-31,71.61000061035156,4,risk_stop,-10.74%,-10.94%
CRWV,政策/AI觀察,波段,2025-12-23,trend_60d,0.20%,0.20%,2025-12-24,80.23013969421386,2025-12-26,76.41999816894531,1,close_below_ma25,-4.75%,-4.95%
CRWV,政策/AI觀察,波段,2025-12-24,base_60d,0.20%,0.20%,2025-12-26,79.158,2025-12-29,74.91999816894531,1,close_below_ma25,-5.35%,-5.55%
CRWV,政策/AI觀察,波段,2025-12-24,risk_30d,0.20%,0.20%,2025-12-26,79.158,2025-12-31,71.61000061035156,3,risk_stop,-9.54%,-9.74%
CRWV,政策/AI觀察,波段,2025-12-24,trend_60d,0.20%,0.20%,2025-12-26,79.158,2025-12-29,74.91999816894531,1,close_below_ma25,-5.35%,-5.55%
CRWV,政策/AI觀察,弱量續攻,2025-12-26,base_60d,0.20%,0.20%,2025-12-29,73.6870809173584,2025-12-30,73.9000015258789,1,close_below_ma25,0.29%,0.09%
CRWV,政策/AI觀察,弱量續攻,2025-12-26,risk_30d,0.20%,0.20%,2025-12-29,73.6870809173584,2026-01-12,89.93000030517578,9,target_reached,22.04%,21.84%
CRWV,政策/AI觀察,弱量續攻,2025-12-26,trend_60d,0.20%,0.20%,2025-12-29,73.6870809173584,2025-12-30,73.9000015258789,1,close_below_ma25,0.29%,0.09%
CRWV,政策/AI觀察,弱量續攻,2026-01-02,base_60d,0.20%,0.20%,2026-01-05,83.06580152893066,2026-01-06,77.94000244140625,1,close_below_ma25,-6.17%,-6.37%
CRWV,政策/AI觀察,弱量續攻,2026-01-02,risk_30d,0.20%,0.20%,2026-01-05,83.06580152893066,2026-01-16,101.2300033569336,9,target_reached,21.87%,21.67%
CRWV,政策/AI觀察,弱量續攻,2026-01-02,trend_60d,0.20%,0.20%,2026-01-05,83.06580152893066,2026-01-06,77.94000244140625,1,close_below_ma25,-6.17%,-6.37%
CRWV,政策/AI觀察,弱量續攻,2026-01-05,base_60d,0.20%,0.20%,2026-01-06,78.80730152893067,2026-01-07,77.18000030517578,1,close_below_ma25,-2.06%,-2.26%
CRWV,政策/AI觀察,弱量續攻,2026-01-05,risk_30d,0.20%,0.20%,2026-01-06,78.80730152893067,2026-01-15,95.01000213623047,7,target_reached,20.56%,20.36%
CRWV,政策/AI觀察,弱量續攻,2026-01-05,trend_60d,0.20%,0.20%,2026-01-06,78.80730152893067,2026-01-07,77.18000030517578,1,close_below_ma25,-2.06%,-2.26%
CRWV,政策/AI觀察,弱量續攻,2026-01-06,base_60d,0.20%,0.20%,2026-01-07,77.29427938842774,2026-01-08,77.08999633789062,1,close_below_ma25,-0.26%,-0.46%
CRWV,政策/AI觀察,弱量續攻,2026-01-06,risk_30d,0.20%,0.20%,2026-01-07,77.29427938842774,2026-01-12,89.93000030517578,3,target_reached,16.35%,16.15%
CRWV,政策/AI觀察,弱量續攻,2026-01-06,trend_60d,0.20%,0.20%,2026-01-07,77.29427938842774,2026-01-08,77.08999633789062,1,close_below_ma25,-0.26%,-0.46%
CRWV,政策/AI觀察,弱量續攻,2026-01-07,base_60d,0.20%,0.20%,2026-01-08,77.73014694213867,2026-01-09,80.13999938964844,1,volume_weak,3.10%,2.90%
CRWV,政策/AI觀察,弱量續攻,2026-01-07,risk_30d,0.20%,0.20%,2026-01-08,77.73014694213867,2026-01-12,89.93000030517578,2,target_reached,15.70%,15.50%
CRWV,政策/AI觀察,弱量續攻,2026-01-07,trend_60d,0.20%,0.20%,2026-01-08,77.73014694213867,2026-02-02,88.94000244140625,16,atr_trail,14.42%,14.22%
CRWV,政策/AI觀察,弱量續攻,2026-01-08,base_60d,0.20%,0.20%,2026-01-09,78.47663969421387,2026-01-12,89.93000030517578,1,volume_weak,14.59%,14.39%
CRWV,政策/AI觀察,弱量續攻,2026-01-08,risk_30d,0.20%,0.20%,2026-01-09,78.47663969421387,2026-01-15,95.01000213623047,4,target_reached,21.07%,20.87%
CRWV,政策/AI觀察,弱量續攻,2026-01-08,trend_60d,0.20%,0.20%,2026-01-09,78.47663969421387,2026-02-02,88.94000244140625,15,atr_trail,13.33%,13.13%
CRWV,政策/AI觀察,弱量續攻,2026-01-09,base_60d,0.20%,0.20%,2026-01-12,78.9075,2026-01-13,87.4800033569336,1,volume_weak,10.86%,10.66%
CRWV,政策/AI觀察,弱量續攻,2026-01-09,risk_30d,0.20%,0.20%,2026-01-12,78.9075,2026-01-15,95.01000213623047,3,target_reached,20.41%,20.21%
CRWV,政策/AI觀察,弱量續攻,2026-01-09,trend_60d,0.20%,0.20%,2026-01-12,78.9075,2026-02-02,88.94000244140625,14,atr_trail,12.71%,12.51%
CRWV,政策/AI觀察,弱量續攻,2026-01-12,base_60d,0.20%,0.20%,2026-01-13,89.22810305786133,2026-01-14,89.80000305175781,1,volume_weak,0.64%,0.44%
CRWV,政策/AI觀察,弱量續攻,2026-01-12,risk_30d,0.20%,0.20%,2026-01-13,89.22810305786133,2026-01-27,108.86000061035156,9,target_reached,22.00%,21.80%
CRWV,政策/AI觀察,弱量續攻,2026-01-12,trend_60d,0.20%,0.20%,2026-01-13,89.22810305786133,2026-02-02,88.94000244140625,13,atr_trail,-0.32%,-0.52%
CRWV,政策/AI觀察,弱量續攻,2026-01-13,base_60d,0.20%,0.20%,2026-01-14,89.37839694213868,2026-01-23,92.9800033569336,6,volume_weak,4.03%,3.83%
CRWV,政策/AI觀察,弱量續攻,2026-01-13,risk_30d,0.20%,0.20%,2026-01-14,89.37839694213868,2026-01-27,108.86000061035156,8,target_reached,21.80%,21.60%
CRWV,政策/AI觀察,弱量續攻,2026-01-13,trend_60d,0.20%,0.20%,2026-01-14,89.37839694213868,2026-02-02,88.94000244140625,12,atr_trail,-0.49%,-0.69%
CRWV,政策/AI觀察,弱量續攻,2026-01-14,base_60d,0.20%,0.20%,2026-01-15,94.91946336364747,2026-01-23,92.9800033569336,5,volume_weak,-2.04%,-2.24%
CRWV,政策/AI觀察,弱量續攻,2026-01-14,risk_30d,0.20%,0.20%,2026-01-15,94.91946336364747,2026-02-04,82.45999908447266,13,risk_stop,-13.13%,-13.33%
CRWV,政策/AI觀察,弱量續攻,2026-01-14,trend_60d,0.20%,0.20%,2026-01-15,94.91946336364747,2026-02-02,88.94000244140625,11,atr_trail,-6.30%,-6.50%
CRWV,政策/AI觀察,沖量,2026-01-15,base_60d,0.20%,0.20%,2026-01-16,97.51463969421387,2026-01-23,92.9800033569336,4,volume_weak,-4.65%,-4.85%
CRWV,政策/AI觀察,沖量,2026-01-15,risk_30d,0.20%,0.20%,2026-01-16,97.51463969421387,2026-02-02,88.94000244140625,10,risk_stop,-8.79%,-8.99%
CRWV,政策/AI觀察,沖量,2026-01-15,trend_60d,0.20%,0.20%,2026-01-16,97.51463969421387,2026-02-02,88.94000244140625,10,atr_trail,-8.79%,-8.99%
CRWV,政策/AI觀察,波段,2026-01-22,base_60d,0.20%,0.20%,2026-01-23,90.63089694213868,2026-01-26,98.30999755859375,1,volume_weak,8.47%,8.27%
CRWV,政策/AI觀察,波段,2026-01-22,risk_30d,0.20%,0.20%,2026-01-23,90.63089694213868,2026-01-27,108.86000061035156,2,target_reached,20.11%,19.91%
CRWV,政策/AI觀察,波段,2026-01-22,trend_60d,0.20%,0.20%,2026-01-23,90.63089694213868,2026-02-02,88.94000244140625,6,atr_trail,-1.87%,-2.07%
CRWV,政策/AI觀察,弱量續攻,2026-01-26,base_60d,0.20%,0.20%,2026-01-27,103.90739694213867,2026-02-03,90.05999755859375,5,volume_weak,-13.33%,-13.53%
CRWV,政策/AI觀察,弱量續攻,2026-01-26,risk_30d,0.20%,0.20%,2026-01-27,103.90739694213867,2026-01-30,93.19000244140625,3,risk_stop,-10.31%,-10.51%
CRWV,政策/AI觀察,弱量續攻,2026-01-26,trend_60d,0.20%,0.20%,2026-01-27,103.90739694213867,2026-02-04,82.45999908447266,6,close_below_ma25,-20.64%,-20.84%
CRWV,政策/AI觀察,沖量,2026-01-27,base_60d,0.20%,0.20%,2026-01-28,114.38330877685547,2026-02-03,90.05999755859375,4,volume_weak,-21.26%,-21.46%
CRWV,政策/AI觀察,沖量,2026-01-27,risk_30d,0.20%,0.20%,2026-01-28,114.38330877685547,2026-01-29,99.52999877929688,1,risk_stop,-12.99%,-13.19%
CRWV,政策/AI觀察,沖量,2026-01-27,trend_60d,0.20%,0.20%,2026-01-28,114.38330877685547,2026-01-30,93.19000244140625,2,atr_trail,-18.53%,-18.73%
CRWV,政策/AI觀察,波段,2026-01-29,base_60d,0.20%,0.20%,2026-01-30,99.198,2026-02-03,90.05999755859375,2,volume_weak,-9.21%,-9.41%
CRWV,政策/AI觀察,波段,2026-01-29,risk_30d,0.20%,0.20%,2026-01-30,99.198,2026-02-02,88.94000244140625,1,risk_stop,-10.34%,-10.54%
CRWV,政策/AI觀察,波段,2026-01-29,trend_60d,0.20%,0.20%,2026-01-30,99.198,2026-02-04,82.45999908447266,3,close_below_ma25,-16.87%,-17.07%
CRWV,政策/AI觀察,波段,2026-01-30,base_60d,0.20%,0.20%,2026-02-02,93.0206690826416,2026-02-03,90.05999755859375,1,volume_weak,-3.18%,-3.38%
CRWV,政策/AI觀察,波段,2026-01-30,risk_30d,0.20%,0.20%,2026-02-02,93.0206690826416,2026-02-04,82.45999908447266,2,risk_stop,-11.35%,-11.55%
CRWV,政策/AI觀察,波段,2026-01-30,trend_60d,0.20%,0.20%,2026-02-02,93.0206690826416,2026-02-04,82.45999908447266,2,close_below_ma25,-11.35%,-11.55%
CRWV,政策/AI觀察,波段,2026-02-02,base_60d,0.20%,0.20%,2026-02-03,91.20203663635255,2026-02-04,82.45999908447266,1,close_below_ma25,-9.59%,-9.79%
CRWV,政策/AI觀察,波段,2026-02-02,risk_30d,0.20%,0.20%,2026-02-03,91.20203663635255,2026-02-04,82.45999908447266,1,risk_stop,-9.59%,-9.79%
CRWV,政策/AI觀察,波段,2026-02-02,trend_60d,0.20%,0.20%,2026-02-03,91.20203663635255,2026-02-04,82.45999908447266,1,close_below_ma25,-9.59%,-9.79%
CRWV,政策/AI觀察,弱量續攻,2026-02-09,base_60d,0.20%,0.20%,2026-02-10,95.19,2026-02-11,95.1500015258789,1,volume_weak,-0.04%,-0.24%
CRWV,政策/AI觀察,弱量續攻,2026-02-09,risk_30d,0.20%,0.20%,2026-02-10,95.19,2026-02-27,79.55999755859375,12,risk_stop,-16.42%,-16.62%
CRWV,政策/AI觀察,弱量續攻,2026-02-09,trend_60d,0.20%,0.20%,2026-02-10,95.19,2026-02-17,91.0,4,close_below_ma25,-4.40%,-4.60%
CRWV,政策/AI觀察,弱量續攻,2026-02-10,base_60d,0.20%,0.20%,2026-02-11,96.01163969421387,2026-02-12,95.69999694824219,1,volume_weak,-0.32%,-0.52%
CRWV,政策/AI觀察,弱量續攻,2026-02-10,risk_30d,0.20%,0.20%,2026-02-11,96.01163969421387,2026-02-27,79.55999755859375,11,risk_stop,-17.14%,-17.34%
CRWV,政策/AI觀察,弱量續攻,2026-02-10,trend_60d,0.20%,0.20%,2026-02-11,96.01163969421387,2026-02-17,91.0,3,close_below_ma25,-5.22%,-5.42%
CRWV,政策/AI觀察,弱量續攻,2026-02-11,base_60d,0.20%,0.20%,2026-02-12,94.45352938842774,2026-02-13,96.04000091552734,1,volume_weak,1.68%,1.48%
CRWV,政策/AI觀察,弱量續攻,2026-02-11,risk_30d,0.20%,0.20%,2026-02-12,94.45352938842774,2026-02-27,79.55999755859375,10,risk_stop,-15.77%,-15.97%
CRWV,政策/AI觀察,弱量續攻,2026-02-11,trend_60d,0.20%,0.20%,2026-02-12,94.45352938842774,2026-02-17,91.0,2,close_below_ma25,-3.66%,-3.86%
CRWV,政策/AI觀察,弱量續攻,2026-02-12,base_60d,0.20%,0.20%,2026-02-13,94.46855877685547,2026-02-17,91.0,1,close_below_ma25,-3.67%,-3.87%
CRWV,政策/AI觀察,弱量續攻,2026-02-12,risk_30d,0.20%,0.20%,2026-02-13,94.46855877685547,2026-02-27,79.55999755859375,9,risk_stop,-15.78%,-15.98%
CRWV,政策/AI觀察,弱量續攻,2026-02-12,trend_60d,0.20%,0.20%,2026-02-13,94.46855877685547,2026-02-17,91.0,1,close_below_ma25,-3.67%,-3.87%
CRWV,政策/AI觀察,弱量續攻,2026-02-13,base_60d,0.20%,0.20%,2026-02-17,92.87538244628907,2026-02-18,95.44999694824219,1,volume_weak,2.77%,2.57%
CRWV,政策/AI觀察,弱量續攻,2026-02-13,risk_30d,0.20%,0.20%,2026-02-17,92.87538244628907,2026-02-27,79.55999755859375,8,risk_stop,-14.34%,-14.54%
CRWV,政策/AI觀察,弱量續攻,2026-02-13,trend_60d,0.20%,0.20%,2026-02-17,92.87538244628907,2026-02-20,89.25,3,close_below_ma25,-3.90%,-4.10%
CRWV,政策/AI觀察,弱量續攻,2026-02-18,base_60d,0.20%,0.20%,2026-02-19,95.4755736694336,2026-02-20,89.25,1,close_below_ma25,-6.52%,-6.72%
CRWV,政策/AI觀察,弱量續攻,2026-02-18,risk_30d,0.20%,0.20%,2026-02-19,95.4755736694336,2026-02-27,79.55999755859375,6,risk_stop,-16.67%,-16.87%
CRWV,政策/AI觀察,弱量續攻,2026-02-18,trend_60d,0.20%,0.20%,2026-02-19,95.4755736694336,2026-02-20,89.25,1,close_below_ma25,-6.52%,-6.72%
CRWV,政策/AI觀察,弱量續攻,2026-02-19,base_60d,0.20%,0.20%,2026-02-20,93.74711755371094,2026-02-23,90.83999633789062,1,close_below_ma25,-3.10%,-3.30%
CRWV,政策/AI觀察,弱量續攻,2026-02-19,risk_30d,0.20%,0.20%,2026-02-20,93.74711755371094,2026-02-27,79.55999755859375,5,risk_stop,-15.13%,-15.33%
CRWV,政策/AI觀察,弱量續攻,2026-02-19,trend_60d,0.20%,0.20%,2026-02-20,93.74711755371094,2026-02-23,90.83999633789062,1,close_below_ma25,-3.10%,-3.30%
CRWV,政策/AI觀察,弱量續攻,2026-02-24,base_60d,0.20%,0.20%,2026-02-25,101.18196336364745,2026-02-27,79.55999755859375,2,close_below_ma25,-21.37%,-21.57%
CRWV,政策/AI觀察,弱量續攻,2026-02-24,risk_30d,0.20%,0.20%,2026-02-25,101.18196336364745,2026-02-27,79.55999755859375,2,risk_stop,-21.37%,-21.57%
CRWV,政策/AI觀察,弱量續攻,2026-02-24,trend_60d,0.20%,0.20%,2026-02-25,101.18196336364745,2026-02-27,79.55999755859375,2,close_below_ma25,-21.37%,-21.57%
CRWV,政策/AI觀察,弱量續攻,2026-02-25,base_60d,0.20%,0.20%,2026-02-26,99.04769847106934,2026-02-27,79.55999755859375,1,close_below_ma25,-19.68%,-19.88%
CRWV,政策/AI觀察,弱量續攻,2026-02-25,risk_30d,0.20%,0.20%,2026-02-26,99.04769847106934,2026-02-27,79.55999755859375,1,risk_stop,-19.68%,-19.88%
CRWV,政策/AI觀察,弱量續攻,2026-02-25,trend_60d,0.20%,0.20%,2026-02-26,99.04769847106934,2026-02-27,79.55999755859375,1,close_below_ma25,-19.68%,-19.88%
CRWV,政策/AI觀察,沖量,2026-02-26,base_60d,0.20%,0.20%,2026-02-27,84.38844122314453,2026-03-02,78.05000305175781,1,close_below_ma25,-7.51%,-7.71%
CRWV,政策/AI觀察,沖量,2026-02-26,risk_30d,0.20%,0.20%,2026-02-27,84.38844122314453,2026-03-03,73.77999877929688,2,risk_stop,-12.57%,-12.77%
CRWV,政策/AI觀察,沖量,2026-02-26,trend_60d,0.20%,0.20%,2026-02-27,84.38844122314453,2026-03-02,78.05000305175781,1,close_below_ma25,-7.51%,-7.71%
CRWV,政策/AI觀察,弱量續攻,2026-04-07,base_60d,0.20%,0.20%,2026-04-08,92.16897061157226,2026-04-22,122.54000091552734,10,volume_weak,32.95%,32.75%
CRWV,政策/AI觀察,弱量續攻,2026-04-07,risk_30d,0.20%,0.20%,2026-04-08,92.16897061157226,2026-04-13,110.2699966430664,3,target_reached,19.64%,19.44%
CRWV,政策/AI觀察,弱量續攻,2026-04-07,trend_60d,0.20%,0.20%,2026-04-08,92.16897061157226,2026-05-08,114.1500015258789,22,atr_trail,23.85%,23.65%
CRWV,政策/AI觀察,弱量續攻,2026-04-08,base_60d,0.20%,0.20%,2026-04-09,90.58080152893066,2026-04-22,122.54000091552734,9,volume_weak,35.28%,35.08%
CRWV,政策/AI觀察,弱量續攻,2026-04-08,risk_30d,0.20%,0.20%,2026-04-09,90.58080152893066,2026-04-13,110.2699966430664,2,target_reached,21.74%,21.54%
CRWV,政策/AI觀察,弱量續攻,2026-04-08,trend_60d,0.20%,0.20%,2026-04-09,90.58080152893066,2026-05-08,114.1500015258789,21,atr_trail,26.02%,25.82%
CRWV,政策/AI觀察,沖量,2026-04-09,base_60d,0.20%,0.20%,2026-04-10,93.62688244628906,2026-04-22,122.54000091552734,8,volume_weak,30.88%,30.68%
CRWV,政策/AI觀察,沖量,2026-04-09,risk_30d,0.20%,0.20%,2026-04-10,93.62688244628906,2026-04-13,110.2699966430664,1,target_reached,17.78%,17.58%
