date,ticker,signal,action,reason,trade_size,exit_return,pnl,realized_pnl,total_invested
2019-10-26,BTC-USD,A_回撤反彈型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-10-26,BTC-USD,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-10-29,AVGO,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-11-01,MRVL,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-11-05,AXP,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-11-06,BTC-USD,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-11-06,BTC-USD,A_回撤反彈型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-11-06,MU,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-11-18,MRVL,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-11-21,MU,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-11-24,BTC-USD,C_過度波動禁止型,SKIP,風險訊號不交易,0.0,0.0,0.0,0.6729999999999999,50.0
2019-11-26,MU,A_回撤反彈型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-12-02,NVDA,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-12-02,GOOGL,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-12-03,AAPL,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-12-03,AVGO,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-12-04,MRVL,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
