date,ticker,scheme,layer,threshold,action,reason,trade_size,eval_return,eval_value,total_invested,month_spend
2018-10-10,GOOGL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-10,NVDA,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-10,MRVL,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-19,AMD,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-19,AMD,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-19,NVDA,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-23,TSM,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-24,AMD,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-24,NVDA,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-24,MRVL,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-24,NVDA,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-24,QQQ,ETF_A,L1,-10.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-24,NVDA,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-25,AMD,AI_B,L3,-40.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-25,AMD,AI_C,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-25,AMD,AI_A,L3,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-26,MRVL,AI_C,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-26,AMD,AI_C,L3,-45.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-26,MRVL,AI_A,L3,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-29,NVDA,AI_C,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-10-29,NVDA,AI_A,L3,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-11-14,BTC-USD,BTC_B,L4,-70.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-11-16,NVDA,AI_B,L3,-40.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-11-19,NVDA,AI_C,L3,-45.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-11-19,GOOGL,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-11-20,TSM,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,110.0,0.0
2018-11-24,BTC-USD,BTC_A,L5,-80.00%,BUY,OK,5.0,1.7886000000000002,13.943000000000001,115.0,5.0
2018-12-17,NVDA,AI_A,L4,-50.00%,SKIP,本層已買過,0.0,0.0,0.0,115.0,0.0
2018-12-17,QQQ,ETF_B,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,115.0,0.0
2018-12-21,QQQ,ETF_A,L2,-20.00%,BUY,OK,5.0,0.45130000000000003,7.2565,120.0,5.0
2018-12-21,NVDA,AI_B,L4,-55.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,5.0
2018-12-24,MRVL,AI_B,L3,-40.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,5.0
2019-05-22,AVGO,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2019-05-23,TSM,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2019-05-24,AVGO,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2019-05-28,MRVL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2019-06-03,GOOGL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2019-06-03,QQQ,ETF_A,L1,-10.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2019-08-05,AVGO,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2019-08-05,AMD,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2019-09-27,AMD,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2019-10-08,MRVL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
