ticker,group,pattern,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,hold_days,return_pct,pnl_usd_100
REGN,生技醫療,VOLUME_PIT,2019-07-03,2019-07-05,314.1873293731562,2019-07-10,298.9607849121094,structure_or_atr_stop,3,-0.04846326709427062,-4.846326709427062
REGN,生技醫療,BUILT_VOLUME,2019-12-19,2019-12-20,372.6123446184067,2020-01-21,360.7305908203125,structure_or_atr_stop,19,-0.03188770841787958,-3.188770841787958
REGN,生技醫療,BUILT_VOLUME,2020-03-17,2020-03-18,492.7021685903695,2020-03-20,434.8583984375,structure_or_atr_stop,2,-0.11740108698600149,-11.74010869860015
REGN,生技醫療,BUILT_VOLUME,2020-03-23,2020-03-24,465.31323237466717,2020-04-16,535.507080078125,paper_target_15pct,16,0.15085289396399149,15.085289396399148
REGN,生技醫療,BUILT_VOLUME,2020-05-28,2020-05-29,577.0949174524444,2020-07-13,610.8348388671875,expired_30d,30,0.05846511621292083,5.846511621292083
REGN,生技醫療,RUSH_VOLUME,2021-05-10,2021-05-11,493.7356842453265,2021-06-23,525.4599609375,expired_30d,30,0.06425356259324033,6.425356259324033
REGN,生技醫療,RUSH_VOLUME,2021-08-05,2021-08-06,599.3459475932242,2021-08-18,630.363525390625,structure_or_atr_stop,8,0.05175237760755236,5.175237760755236
REGN,生技醫療,BUILT_VOLUME,2021-12-14,2021-12-15,642.9733403210541,2021-12-16,626.5648803710938,structure_or_atr_stop,1,-0.025519658313931326,-2.5519658313931326
REGN,生技醫療,BUILT_VOLUME,2022-02-11,2022-02-14,634.0392252128934,2022-02-22,597.9512939453125,structure_or_atr_stop,5,-0.0569175057828063,-5.6917505782806295
REGN,生技醫療,VOLUME_PIT,2022-10-28,2022-10-31,740.5737388609546,2022-11-09,736.8638916015625,structure_or_atr_stop,7,-0.005009423187349316,-0.5009423187349316
REGN,生技醫療,RUSH_VOLUME,2022-12-02,2022-12-05,757.2693831457332,2022-12-15,725.2796630859375,structure_or_atr_stop,8,-0.04224351435800677,-4.224351435800678
REGN,生技醫療,BUILT_VOLUME,2023-12-04,2023-12-05,812.7329832459629,2023-12-15,852.1021728515625,structure_or_atr_stop,8,0.04844049696170005,4.844049696170005
REGN,生技醫療,VOLUME_PIT,2024-06-07,2024-06-10,992.2514902026437,2024-07-03,1015.7008056640625,structure_or_atr_stop,16,0.023632431589122538,2.363243158912254
REGN,生技醫療,RUSH_VOLUME,2024-07-31,2024-08-01,1054.2740422475213,2024-09-03,1159.2353515625,structure_or_atr_stop,22,0.09955789966261541,9.955789966261541
REGN,生技醫療,BUILT_VOLUME,2025-03-07,2025-03-10,706.5089045395357,2025-03-13,675.902099609375,structure_or_atr_stop,3,-0.0433211877918348,-4.33211877918348
REGN,生技醫療,BUILT_VOLUME,2025-05-16,2025-05-19,585.5780878394513,2025-05-30,487.6079406738281,structure_or_atr_stop,8,-0.16730500884535116,-16.730500884535115
REGN,生技醫療,RUSH_VOLUME,2025-08-26,2025-08-27,590.7171654804922,2025-09-03,561.5786743164062,structure_or_atr_stop,4,-0.04932731409689872,-4.932731409689872
