target_pct,atr_stop_multiple,max_hold_days,trades,win_rate,average_return,median_return,total_pnl_usd_100,profit_factor
0.25,2.0,60,740,0.41486486486486485,0.005022262796374456,-0.012707577917688728,371.6474469317098,1.186287967703501
0.1,2.0,60,747,0.42971887550200805,0.004948095868445921,-0.01121433493073365,369.6227613729103,1.1855382060087367
0.25,1.5,30,760,0.39473684210526316,0.0047462898564073555,-0.01647963726254359,360.718029086959,1.1840860354872453
0.2,2.5,15,759,0.463768115942029,0.004443823595040787,-0.0058616016525966375,337.2862108635957,1.1829140553117325
0.2,1.0,30,788,0.35913705583756345,0.0041681363413107715,-0.01751788529349979,328.4491436952888,1.181757135953994
0.25,2.0,20,759,0.43873517786561267,0.004639310983355424,-0.008706860615969036,352.1237036366767,1.1812448000532543
0.1,1.0,60,788,0.36928934010152287,0.004092175138495608,-0.017002869071102822,322.46340091345394,1.1797108750096954
0.2,1.5,60,753,0.39575033200531207,0.004635325298473319,-0.016493266714017407,349.03999497504094,1.1796873419694707
0.1,2.0,45,747,0.43105756358768405,0.004752007243309615,-0.01121433493073365,354.9749410752282,1.1782116176323985
0.15,2.5,20,756,0.455026455026455,0.004555415753167768,-0.006740458485186174,344.38943093948325,1.1763472606125878
0.2,2.0,20,759,0.4400527009222661,0.0045021472087344175,-0.008433519916504872,341.7129731429423,1.17623376681656
0.25,2.5,15,759,0.4624505928853755,0.004271816535024326,-0.005863493487712534,324.2308750083464,1.1754693896534556
0.15,2.5,15,760,0.46578947368421053,0.004246984280300049,-0.005518066621691797,322.77080530280375,1.174696372091661
0.1,1.0,45,788,0.36928934010152287,0.003962228479363722,-0.017002869071102822,312.22360417386136,1.174004172088431
0.2,1.0,60,781,0.35723431498079383,0.004001963668383006,-0.017626675121672486,312.55336250071275,1.1738495125857067
0.2,2.0,45,741,0.4183535762483131,0.004668195932813269,-0.012591796396772992,345.91331862146325,1.1731193444034185
0.25,1.5,60,753,0.3944223107569721,0.004467001746632034,-0.016648975911945918,336.3652315213921,1.1728214219744788
0.25,2.0,45,741,0.41700404858299595,0.004607561444110328,-0.012823359438604465,341.42030300857533,1.1705436877560178
0.25,1.0,30,788,0.35786802030456855,0.003919064092708917,-0.017540751280692157,308.8222505054626,1.1705344186636908
0.1,1.5,60,760,0.40789473684210525,0.004351216448289048,-0.01486520217053472,330.69245006996766,1.1696369284295887
0.15,2.0,60,741,0.4183535762483131,0.004520168412390514,-0.012237986555449498,334.9444793581371,1.1679007436868685
0.15,2.0,30,748,0.42112299465240643,0.0044436301593529,-0.011695149086399959,332.3835359195969,1.1670199085990138
0.1,2.0,30,751,0.42876165113182424,0.00441984301593633,-0.011189204818026988,331.9302104968184,1.166797012502062
0.2,1.5,45,754,0.39655172413793105,0.004307182724920916,-0.016571121312981663,324.7615774590371,1.1665688703151278
0.2,1.0,45,782,0.35805626598465473,0.003777290661504122,-0.017747811920317436,295.3841297296223,1.1638951571244305
0.1,1.5,45,760,0.40789473684210525,0.004191314122708159,-0.01486520217053472,318.53987332582017,1.1634029615188053
0.15,1.0,60,782,0.3593350383631714,0.003760165723304017,-0.017540751280692157,294.0449595623742,1.1632177529625518
0.25,1.5,20,770,0.4142857142857143,0.004042601479517087,-0.013406200437390325,311.2803139228157,1.1623233311560004
0.2,1.5,20,770,0.4155844155844156,0.004024759963003372,-0.013103152790183925,309.9065171512596,1.1619304857543216
0.25,1.5,45,754,0.3952254641909814,0.004127740426047357,-0.01670865665882415,311.2316281239707,1.159316324129729
0.25,1.0,60,781,0.3559539052496799,0.0036747279493934385,-0.017868948718962385,286.99625284762755,1.1592945551117253
0.15,1.0,45,783,0.36015325670498083,0.003628346621379246,-0.0175482597021126,284.09954045399496,1.1573098981770704
0.15,1.5,60,754,0.3978779840848806,0.004034107002263488,-0.016321023353053854,304.171667970667,1.156290303248183
0.15,2.0,45,742,0.42048517520215634,0.004215584029368347,-0.012356672829747506,312.79633497913136,1.1562550334352908
0.1,1.0,30,792,0.3686868686868687,0.0035283875979430688,-0.016998428692079404,279.44829775709104,1.1548597805892598
0.15,1.0,30,789,0.3612167300380228,0.0035084408724611604,-0.017279046010838517,276.81598483718557,1.1528704096246698
0.15,2.0,20,760,0.4421052631578947,0.003908657341933392,-0.008289545285278421,297.05795798693777,1.152259952179687
