ticker,trades,mean_return,median_return,overall_mean,mean_difference_vs_others,welch_p,mann_whitney_p,welch_q_bh,mann_whitney_q_bh,significantly_worse_fdr_5pct
AVGO,22,0.01374824875320141,0.00566305130725945,0.004847622991190774,0.009098617437201976,0.510753984269918,0.3403761632829184,0.9843185895824688,0.787458829371286,False
MRVL,29,0.016646389465291567,0.0034979804171175,0.004847622991190774,0.01214720255123819,0.4659835406531183,0.5460724709185694,0.9843185895824688,0.787458829371286,False
SPOT,15,0.018061159426743394,0.0369053389313696,0.004847622991190774,0.013412535478256726,0.5709181064252525,0.531996818480412,0.9843185895824688,0.787458829371286,False
AXP,31,0.02142865938861416,0.0030117756268324,0.004847622991190774,0.017105538569178617,0.14968471499806998,0.09648306195336516,0.8859651050026126,0.5306568407435084,False
MU,10,0.02331675240310204,0.020121202145268,0.004847622991190774,0.018653636199243047,0.6086432622546644,0.6566044591611622,0.9843185895824688,0.8254456058026038,False
META,15,0.02506498529637389,0.0006377293185142,0.004847622991190774,0.02052184065315274,0.34002822854664533,0.4051050048200763,0.9843185895824688,0.787458829371286,False
NVDA,24,0.02629158358306574,0.0211032559254208,0.004847622991190774,0.02196539428407861,0.22149127625065315,0.3656990611616435,0.8859651050026126,0.787458829371286,False
GOOGL,18,0.03425397193635134,0.02853272701895745,0.004847622991190774,0.029939394545374955,0.047422038668123875,0.023480579090114355,0.6955232337991503,0.31456255939664884,False
STX,25,0.03877291451246445,0.0114374079014829,0.004847622991190774,0.03478546625558589,0.0955425728559943,0.09579021891806971,0.7006455342772915,0.5306568407435084,False
GEV,8,0.0677584061281289,0.1154473472301262,0.004847622991190774,0.06341256405926665,0.21808915848859375,0.14203514145153026,0.8859651050026126,0.6249546223867332,False
PLTR,7,0.10610716836881129,0.1553906111621679,0.004847622991190774,0.10196553822387883,0.024326724830464934,0.006680469210301182,0.6955232337991503,0.14697032262662602,False
